attribute           value                                                       
dataStatement       This Dec. 19, 2021 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of minimum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 45 unique station locations statewide and their Dec. 19, 2021 recorded and/or estimated minimum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.98, nan, 0.99, 0.87 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed daily temperature (degC) produces a statewide R-squared value of: 0.98 meaning overall this Dec. 19, 2021 statewide mosaic daily minimum temperature map is a high quality estimate of daily temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in minimum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, Daily Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataDate            2021-12-19                                                  
dateProduced        2021-12-20                                                  
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmin_2021_12.csv                                      
tempGridFile        Tmin_map_state_20211219.tif                                 
tempSEGridFile      Tmin_map_state_20211219_se.tif                              
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties21, 6, 7, 11                                                
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.98291 nan 0.98997 0.86615                                 
rmseTempCounties    0.6446 nan 0.47142 0.44417                                  
maeTempCounties     0.59486 nan 0.42604 0.32915                                 
biasTempCounties    -0.09817 nan -0.07576 0.01075                               
stationCount        45                                                          
gridPixCount        287117                                                      
rsqTemp             0.98459                                                     
rmseTemp            0.58691                                                     
maeTemp             0.50575                                                     
biasTemp            -0.06302                                                    
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
