attribute           value                                                       
dataStatement       This Jun. 2022 monthly temperature max map of Hawaii County is a high spatial resolution gridded prediction of max temperature in degrees Celsius for the month Jun. 2022. This was produced using a piece-wise linear regression model regressed on elevation with the junction point at 2150 meters. The model was trained on 30 unique station location(s) within Hawaii County. Due to limited station availability, the model training was supplemented by 1 station(s) from Maui. A leave one out cross validation (LOOCV) of the station data used in this map produced an R-squared of: 0.9037. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error
keywords            Hawaii County, Hawaii, max temperature prediction, daily temperature, temperature, climate, linear regression
county              bi                                                          
dataYearMon         Jun. 2022                                                   
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmax_2022_06.csv                                      
tempGridFile        Tmax_map_BI_202206_monthly.tif                              
tempSEGridFile      Tmax_map_BI_202206_se_monthly.tif                           
crossValidationFile 202206_Tmax_BI_loocv_monthly.csv                            
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs +ellps=WGS84 +towgs84=0,0,0
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -156.241875                                                 
ExtentXmax          -154.669125                                                 
ExtentYmin          18.850125000000002                                          
ExtentYmax          20.332875                                                   
stationCount        30                                                          
outerStationCount   1                                                           
regressionConst     28.2873                                                     
regressionSlope1    -0.0049                                                     
regressionSlope2    0.0004                                                      
biasTemp            0.13625                                                     
rsqTemp             0.90375                                                     
rmseTemp            1.14714                                                     
maeTemp             0.99809                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
