attribute           value                                                       
dataStatement       This Jun. 2022 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of average temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 79 unique station locations statewide and their Jun. 2022 recorded and/or estimated average temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.97, 0.78, 0.99, 0.68 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed monthly temperature (degC) produces a statewide R-squared value of: 0.98 meaning overall this Jun. 2022 statewide mosaic monthly average temperature map is a high quality estimate of monthly temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in average temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, monthly Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataYearMon         2022-06                                                     
dateProduced        2022-10-12                                                  
dataVersionType     archival                                                    
tempStationFile     daily_Tmin_2022_06.csv, daily_Tmax_2022_06.csv              
tempGridFile        Tmean_map_state_202206_monthly.tif                          
tempSEGridFile      Tmean_map_state_202206_monthly_se.tif                       
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties28, 11, 16, 24                                              
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.97279 0.77751 0.99064 0.67557                             
rmseTempCounties    0.82019 0.74788 0.50165 0.55992                             
maeTempCounties     0.74146 0.688 0.41131 0.50502                               
biasTempCounties    0.08667 0.1262 -0.01491 -0.12448                            
stationCount        79                                                          
gridPixCount        287117                                                      
rsqTemp             0.97518                                                     
rmseTemp            0.71509                                                     
maeTemp             0.62763                                                     
biasTemp            0.00212                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
