attribute           value                                                       
dataStatement       This Jun. 2022 mosaic temperature map of the State of Hawaii is a high spatial resolution (~250m) gridded prediction of minimum temperature in degrees Celsius. This was produced using a piece-wise linear regression model using elevation (m) as its predictor(s). This process was done for four individually produced maps of Kauai, Honolulu (Oahu), Maui (Maui, Lanai, Molokai, & Kahoolawe) and Hawaii counties. The linear regression fitting used 80 unique station locations statewide and their Jun. 2022 recorded and/or estimated minimum temperatures (degC). Please consult each county map meta-data files for more details on map production and accuracy at the county scale. A leave one out cross validation (LOOCV) of the all station data used in all four counties produced individual R-squared values of: 0.96, 0.89, 0.98, 0.76 for Hawaii, Kauai, Maui (Maui, Lanai, Molokai, & Kahoolawe), and Honolulu (Oahu) counties respectively. As a whole leave one out cross validation (LOOCV) data from all stations data compared to observed monthly temperature (degC) produces a statewide R-squared value of: 0.96 meaning overall this Jun. 2022 statewide mosaic monthly minimum temperature map is a high quality estimate of monthly temperature. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in minimum temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error.
keywords            Hawaii, Hawaiian Islands, Temperature prediction, monthly Temperature, Temperature, Climate, Linear Regression
county              bi, ka, mn, oa                                              
dataYearMon         2022-06                                                     
dateProduced        2022-08-26                                                  
dataVersionType     archival                                                    
tempStationFile     daily_Tmin_2022_06.csv                                      
tempGridFile        Tmin_map_state_202206_monthly.tif                           
tempSEGridFile      Tmin_map_state_202206_monthly_se.tif                        
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs                         
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -159.815                                                    
ExtentXmax          -154.669                                                    
ExtentYmin          18.85                                                       
ExtentYmax          22.268                                                      
stationCountCounties29, 11, 16, 24                                              
gridPixCounties     179399, 25527, 54332, 27859                                 
rsqTempCounties     0.95673 0.8875 0.97766 0.76183                              
rmseTempCounties    1.0916 0.91942 0.66991 0.69214                              
maeTempCounties     0.92261 0.87398 0.61982 0.61445                             
biasTempCounties    -0.12296 0.29216 -0.06165 -0.01257                          
stationCount        80                                                          
gridPixCount        287117                                                      
rsqTemp             0.95979                                                     
rmseTemp            0.86834                                                     
maeTemp             0.76879                                                     
biasTemp            -0.02739                                                    
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
