Unavailable files: []
Downloading 20220210_1000.gz as mesonet_20220210_1000.gz
Downloading 20220210_1100.gz as mesonet_20220210_1100.gz
Downloading 20220210_1200.gz as mesonet_20220210_1200.gz
Downloading 20220210_1300.gz as mesonet_20220210_1300.gz
Downloading 20220210_1400.gz as mesonet_20220210_1400.gz
Downloading 20220210_1500.gz as mesonet_20220210_1500.gz
Downloading 20220210_1600.gz as mesonet_20220210_1600.gz
Downloading 20220210_1700.gz as mesonet_20220210_1700.gz
Downloading 20220210_1800.gz as mesonet_20220210_1800.gz
Downloading 20220210_1900.gz as mesonet_20220210_1900.gz
Downloading 20220210_2000.gz as mesonet_20220210_2000.gz
Downloading 20220210_2100.gz as mesonet_20220210_2100.gz
Downloading 20220210_2200.gz as mesonet_20220210_2200.gz
Downloading 20220210_2300.gz as mesonet_20220210_2300.gz
Downloading 20220211_0000.gz as mesonet_20220211_0000.gz
Downloading 20220211_0100.gz as mesonet_20220211_0100.gz
Downloading 20220211_0200.gz as mesonet_20220211_0200.gz
Downloading 20220211_0300.gz as mesonet_20220211_0300.gz
Downloading 20220211_0400.gz as mesonet_20220211_0400.gz
Downloading 20220211_0500.gz as mesonet_20220211_0500.gz
Downloading 20220211_0600.gz as mesonet_20220211_0600.gz
Downloading 20220211_0700.gz as mesonet_20220211_0700.gz
Downloading 20220211_0800.gz as mesonet_20220211_0800.gz
Downloading 20220211_0900.gz as mesonet_20220211_0900.gz
Unavailable files: []
Downloading 20220210_1000.gz as hfmetar_20220210_1000.gz
Downloading 20220210_1100.gz as hfmetar_20220210_1100.gz
Downloading 20220210_1200.gz as hfmetar_20220210_1200.gz
Downloading 20220210_1300.gz as hfmetar_20220210_1300.gz
Downloading 20220210_1400.gz as hfmetar_20220210_1400.gz
Downloading 20220210_1500.gz as hfmetar_20220210_1500.gz
Downloading 20220210_1600.gz as hfmetar_20220210_1600.gz
Downloading 20220210_1700.gz as hfmetar_20220210_1700.gz
Downloading 20220210_1800.gz as hfmetar_20220210_1800.gz
Downloading 20220210_1900.gz as hfmetar_20220210_1900.gz
Downloading 20220210_2000.gz as hfmetar_20220210_2000.gz
Downloading 20220210_2100.gz as hfmetar_20220210_2100.gz
Downloading 20220210_2200.gz as hfmetar_20220210_2200.gz
Downloading 20220210_2300.gz as hfmetar_20220210_2300.gz
Downloading 20220211_0000.gz as hfmetar_20220211_0000.gz
Downloading 20220211_0100.gz as hfmetar_20220211_0100.gz
Downloading 20220211_0200.gz as hfmetar_20220211_0200.gz
Downloading 20220211_0300.gz as hfmetar_20220211_0300.gz
Downloading 20220211_0400.gz as hfmetar_20220211_0400.gz
Downloading 20220211_0500.gz as hfmetar_20220211_0500.gz
Downloading 20220211_0600.gz as hfmetar_20220211_0600.gz
Downloading 20220211_0700.gz as hfmetar_20220211_0700.gz
Downloading 20220211_0800.gz as hfmetar_20220211_0800.gz
Downloading 20220211_0900.gz as hfmetar_20220211_0900.gz
