# STATION: 002HI
# STATION NAME: Park HQ
# LATITUDE: 20.75980
# LONGITUDE: -156.24820
# ELEVATION [ft]: 6936.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Millimeters,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
002HI,2024-01-15T10:05:00Z,78950.0,12.572,28.94,1.713,214.0,3.627,0.0,9.933,0.0,40.4,66.5,12.5,-111.16,-6.86,-104.31,0.97,247.65,351.96,,SW,,-5.13,102082.8,101053.41,
002HI,2024-01-15T10:10:00Z,78950.0,12.4,29.35,1.898,207.0,2.84,0.0,9.922,0.0,40.4,66.5,12.5,-111.44,-6.69,-104.74,1.07,247.42,352.17,,SSW,,-5.1,102082.8,101068.09,
002HI,2024-01-15T10:15:00Z,78950.0,12.372,28.94,2.083,201.0,3.298,0.0,9.922,0.0,40.4,66.4,12.5,-111.16,-6.48,-104.68,1.3,247.59,352.27,,SSW,,-5.31,102082.8,101070.49,
002HI,2024-01-15T10:20:00Z,78950.0,12.55,28.39,2.135,208.8,3.987,0.0,9.906,0.0,40.4,66.4,12.5,-111.17,-6.49,-104.68,1.55,247.9,352.57,,SSW,,-5.41,102082.8,101055.3,
002HI,2024-01-15T10:25:00Z,78940.0,12.661,28.14,2.197,208.4,3.658,0.0,9.883,0.0,40.4,66.4,12.4,-112.0,-6.67,-105.33,1.79,248.03,353.35,,SSW,,-5.43,102069.87,101033.05,
002HI,2024-01-15T10:30:00Z,78940.0,13.011,27.63,2.66,211.1,4.085,0.0,9.856,0.0,40.4,66.4,12.4,-113.21,-6.66,-106.55,2.13,248.27,354.81,,SSW,,-5.36,102069.87,101003.27,
002HI,2024-01-15T10:35:00Z,78930.0,13.178,27.62,2.372,209.4,5.098,0.0,9.822,0.0,40.4,66.3,12.4,-113.88,-6.69,-107.19,1.93,248.25,355.44,,SSW,,-5.22,102056.94,100976.29,
002HI,2024-01-15T10:40:00Z,78930.0,12.928,28.65,1.924,209.9,3.529,0.0,9.794,0.0,40.4,66.3,12.4,-113.0,-6.84,-106.15,1.12,247.85,354.0,,SSW,,-4.96,102056.94,100997.51,
002HI,2024-01-15T10:45:00Z,78930.0,12.572,29.44,2.15,215.4,3.951,0.0,9.783,0.0,40.4,66.3,12.49,-113.01,-6.77,-106.24,0.88,247.14,353.37,,SW,,-4.91,102056.94,101027.8,
002HI,2024-01-15T10:50:00Z,78930.0,12.328,30.18,2.094,208.4,3.56,0.0,9.778,0.0,40.4,66.3,12.48,-112.27,-6.63,-105.64,0.7,246.76,352.4,,SSW,,-4.79,102056.94,101048.61,
002HI,2024-01-15T10:55:00Z,78930.0,12.1,30.96,2.058,211.6,3.462,0.0,9.772,0.0,40.4,66.3,12.49,-112.14,-6.73,-105.41,0.8,246.41,351.82,,SSW,,-4.65,102056.94,101068.09,
002HI,2024-01-15T11:00:00Z,78920.0,11.911,31.51,2.202,210.7,3.791,0.0,9.767,0.0,40.4,66.3,12.48,-112.03,-6.62,-105.42,0.89,246.3,351.72,,SSW,,-4.59,102044.01,101071.46,
002HI,2024-01-15T11:05:00Z,78920.0,11.972,31.46,2.135,210.1,3.689,0.0,9.756,0.0,40.3,66.3,12.48,-112.32,-6.66,-105.66,1.26,245.9,351.56,,SSW,,-4.55,102044.01,101066.24,
002HI,2024-01-15T11:10:00Z,78920.0,11.972,31.35,2.15,206.9,3.236,0.0,9.733,0.0,40.3,66.2,12.48,-112.25,-6.61,-105.64,1.25,245.62,351.25,,SSW,,-4.6,102044.01,101066.24,
002HI,2024-01-15T11:15:00Z,78910.0,11.9,31.81,2.125,212.3,3.889,0.0,9.722,0.0,40.3,66.2,12.48,-112.27,-6.68,-105.59,1.24,245.31,350.9,,SSW,,-4.47,102031.08,101059.59,
002HI,2024-01-15T11:20:00Z,78910.0,11.772,32.17,2.083,207.6,3.791,0.0,9.706,0.0,40.3,66.2,12.48,-112.68,-6.71,-105.97,1.21,244.77,350.73,,SSW,,-4.43,102031.08,101070.56,
002HI,2024-01-15T11:25:00Z,78900.0,11.728,32.22,2.212,203.0,4.049,0.0,9.694,0.0,40.3,66.2,12.48,-112.39,-6.6,-105.79,1.27,244.97,350.76,,SSW,,-4.45,102018.15,101061.52,
002HI,2024-01-15T11:30:00Z,78900.0,11.889,31.9,2.264,211.3,4.116,0.0,9.672,0.0,40.3,66.2,12.47,-112.86,-6.68,-106.18,1.58,244.84,351.02,,SSW,,-4.44,102018.15,101047.72,
002HI,2024-01-15T11:35:00Z,78900.0,11.761,32.22,2.13,211.3,3.529,0.0,9.65,0.0,40.3,66.2,12.47,-112.23,-6.7,-105.53,1.3,244.93,350.46,,SSW,,-4.42,102018.15,101058.69,
002HI,2024-01-15T11:40:00Z,78900.0,11.728,31.8,2.042,204.5,3.102,0.0,9.633,0.0,40.3,66.2,12.47,-112.14,-6.55,-105.58,1.36,244.73,350.31,,SSW,,-4.62,102018.15,101061.53,
002HI,2024-01-15T11:45:00Z,78900.0,11.7,31.86,2.233,206.1,3.987,0.0,9.611,0.0,40.3,66.2,12.47,-112.65,-6.7,-105.95,1.35,244.48,350.43,,SSW,,-4.62,102018.15,101063.93,
002HI,2024-01-15T11:50:00Z,78890.0,11.739,31.81,2.192,204.4,3.627,0.0,9.594,0.0,40.3,66.2,12.47,-112.54,-6.57,-105.97,1.32,244.22,350.2,,SSW,,-4.61,102005.22,101047.78,
002HI,2024-01-15T11:55:00Z,78890.0,11.578,32.13,2.222,204.2,3.987,0.0,9.578,0.0,40.3,66.2,12.47,-112.36,-6.54,-105.82,1.2,244.16,349.98,,SSW,,-4.62,102005.22,101061.59,
002HI,2024-01-15T12:00:00Z,78880.0,11.589,32.22,2.068,208.7,3.591,0.0,9.556,0.0,40.3,66.2,12.46,-112.28,-6.61,-105.66,1.25,243.99,349.65,,SSW,,-4.57,101992.29,101047.83,
002HI,2024-01-15T12:05:00Z,78890.0,11.472,32.45,1.991,210.3,3.236,0.0,9.539,0.0,40.3,66.2,12.46,-111.98,-6.58,-105.4,1.09,243.83,349.23,,SSW,,-4.58,102005.22,101070.69,
002HI,2024-01-15T12:10:00Z,78890.0,11.122,33.67,1.62,202.9,3.334,0.0,9.522,0.0,40.2,66.1,12.47,-110.51,-6.53,-103.97,0.67,243.65,347.63,,SSW,,-4.4,102005.22,101100.79,
002HI,2024-01-15T12:15:00Z,78880.0,10.811,36.05,1.713,203.1,2.644,0.0,9.522,0.0,40.2,66.2,12.47,-110.23,-6.66,-103.57,0.66,243.21,346.78,,SSW,,-3.76,101992.29,101114.76,
002HI,2024-01-15T12:20:00Z,78880.0,10.489,37.42,1.533,201.9,2.742,0.0,9.517,0.0,40.2,66.1,12.46,-109.13,-6.5,-102.63,0.54,242.9,345.53,,SSW,,-3.55,101992.29,101142.58,
002HI,2024-01-15T12:25:00Z,78870.0,10.45,37.18,1.867,204.7,3.395,0.0,9.511,0.0,40.2,66.1,12.46,-109.11,-6.41,-102.7,1.11,243.19,345.89,,SSW,,-3.67,101979.36,101133.14,
002HI,2024-01-15T12:30:00Z,78870.0,10.628,36.39,1.775,207.2,3.462,0.0,9.494,0.0,40.2,66.1,12.46,-109.35,-6.5,-102.85,1.43,243.05,345.9,,SSW,,-3.8,101979.36,101117.75,
002HI,2024-01-15T12:35:00Z,78860.0,10.761,35.89,1.914,204.9,2.973,0.0,9.467,0.0,40.2,66.1,12.46,-109.87,-6.56,-103.31,1.78,242.84,346.15,,SSW,,-3.87,101966.43,101093.44,
002HI,2024-01-15T12:40:00Z,78850.0,10.761,36.03,1.991,207.0,3.004,0.0,9.444,0.0,40.2,66.1,12.45,-109.71,-6.54,-103.18,1.63,243.06,346.24,,SSW,,-3.82,101953.5,101080.62,
002HI,2024-01-15T12:45:00Z,78850.0,10.95,35.49,2.022,211.5,3.395,0.0,9.417,0.0,40.2,66.1,12.46,-110.21,-6.6,-103.6,1.85,243.15,346.75,,SSW,,-3.85,101953.5,101064.32,
002HI,2024-01-15T12:50:00Z,78850.0,11.061,34.08,2.202,204.7,3.755,0.0,9.378,0.0,40.2,66.1,12.46,-110.69,-6.54,-104.15,1.93,243.41,347.56,,SSW,,-4.29,101953.5,101054.77,
002HI,2024-01-15T12:55:00Z,78850.0,11.372,33.26,2.33,206.8,4.213,0.0,9.344,0.0,40.2,66.1,12.46,-111.67,-6.57,-105.11,2.16,243.55,348.65,,SSW,,-4.34,101953.5,101028.02,
002HI,2024-01-15T13:00:00Z,78840.0,11.489,33.35,2.305,203.8,3.658,0.0,9.311,0.0,40.2,66.1,12.45,-112.02,-6.46,-105.57,1.81,243.51,349.08,,SSW,,-4.2,101940.57,101005.15,
002HI,2024-01-15T13:05:00Z,78840.0,11.461,33.04,2.32,208.1,3.951,0.0,9.289,0.0,40.2,66.1,12.45,-112.06,-6.58,-105.48,1.63,243.6,349.07,,SSW,,-4.35,101940.57,101007.56,
002HI,2024-01-15T13:10:00Z,78840.0,11.789,31.37,2.361,210.4,3.951,0.0,9.261,0.0,40.2,66.1,12.45,-112.52,-6.69,-105.83,2.03,243.86,349.69,,SSW,,-4.75,101940.57,100979.46,
002HI,2024-01-15T13:15:00Z,78840.0,11.861,31.31,2.207,212.2,3.395,0.0,9.233,0.0,40.2,66.1,12.45,-112.09,-6.66,-105.44,1.69,244.18,349.62,,SSW,,-4.71,101940.57,100973.29,
