# STATION: 003HI
# STATION NAME: Summit
# LATITUDE: 20.71040
# LONGITUDE: -156.25670
# ELEVATION [ft]: 9800.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Millimeters,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
003HI,2024-01-15T10:05:00Z,5.922,38.83,3.262,282.7,4.671,0.0,4.089,0.0,6.6,15.5,12.59,-104.18,-6.53,-97.65,1.27,216.98,314.63,3.44,WNW,,-7.16
003HI,2024-01-15T10:10:00Z,5.878,39.34,3.308,284.5,5.098,0.0,4.044,0.0,6.6,15.5,12.59,-104.24,-6.43,-97.81,1.29,216.65,314.45,3.35,WNW,,-7.03
003HI,2024-01-15T10:15:00Z,5.783,38.57,2.86,279.5,4.445,0.0,3.994,0.0,6.7,15.5,12.6,-104.02,-6.54,-97.49,1.19,216.5,313.98,3.55,W,,-7.38
003HI,2024-01-15T10:20:00Z,5.783,37.53,2.932,280.6,4.867,0.0,3.944,0.0,6.7,15.5,12.66,-103.93,-6.65,-97.27,1.38,216.26,313.53,3.49,W,,-7.73
003HI,2024-01-15T10:25:00Z,5.689,40.21,2.994,278.8,4.867,0.0,3.9,0.0,6.6,15.5,12.66,-103.92,-6.54,-97.38,1.31,216.23,313.61,3.34,W,,-6.92
003HI,2024-01-15T10:30:00Z,6.039,39.83,3.833,279.7,6.503,0.0,3.85,0.0,6.6,15.5,12.66,-104.18,-6.36,-97.82,1.94,216.47,314.29,3.23,W,,-6.73
003HI,2024-01-15T10:35:00Z,5.889,40.69,3.472,281.6,5.294,0.0,3.794,0.0,6.6,15.5,12.66,-104.12,-6.4,-97.71,1.3,216.61,314.32,3.26,WNW,,-6.58
003HI,2024-01-15T10:40:00Z,5.744,40.66,3.226,281.1,4.671,0.0,3.756,0.0,6.6,15.5,12.66,-104.02,-6.4,-97.62,1.19,216.46,314.08,3.24,W,,-6.72
003HI,2024-01-15T10:45:00Z,5.772,40.27,3.118,269.4,4.934,0.0,3.722,0.0,6.6,15.5,12.66,-104.0,-6.32,-97.69,1.35,216.15,313.83,3.35,W,,-6.82
003HI,2024-01-15T10:50:00Z,5.756,41.52,3.174,265.1,5.422,0.0,3.694,0.0,6.6,15.5,12.65,-104.11,-6.15,-97.96,1.31,215.9,313.86,3.29,W,,-6.44
003HI,2024-01-15T10:55:00Z,5.65,42.44,2.819,268.4,4.671,0.0,3.644,0.0,6.6,15.5,12.65,-103.82,-6.28,-97.55,1.16,216.08,313.63,3.42,W,,-6.25
003HI,2024-01-15T11:00:00Z,5.55,42.86,2.943,264.9,5.294,0.0,3.611,0.0,6.6,15.5,12.65,-103.77,-6.2,-97.56,1.14,215.83,313.39,3.21,W,,-6.21
003HI,2024-01-15T11:05:00Z,5.567,43.17,3.123,257.0,4.738,0.0,3.594,0.0,6.6,15.5,12.65,-104.22,-6.09,-98.13,1.36,215.34,313.48,3.1,WSW,,-6.1
003HI,2024-01-15T11:10:00Z,5.583,43.94,3.025,265.8,5.098,0.0,3.544,0.0,6.6,15.5,12.65,-104.25,-6.16,-98.09,1.26,215.36,313.45,3.19,W,,-5.85
003HI,2024-01-15T11:15:00Z,5.639,42.85,3.087,275.9,5.489,0.0,3.483,0.0,6.6,15.5,12.65,-104.11,-6.43,-97.68,1.28,215.33,313.01,3.21,W,,-6.13
003HI,2024-01-15T11:20:00Z,5.639,43.31,2.943,275.9,4.964,0.0,3.439,0.0,6.6,15.5,12.65,-104.41,-6.45,-97.97,1.32,215.13,313.09,3.31,W,,-5.99
