# STATION: 004HI
# STATION NAME: Nahuku
# LATITUDE: 19.41520
# LONGITUDE: -155.23840
# ELEVATION [ft]: 3944.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
004HI,2024-01-15T10:05:00Z,88000.0,12.222,100.0,1.111,191.5,2.109,0.0,,14.739,15.028,,0.0,,,,13.79,-9.0,-0.84,-8.16,0.0,372.6,380.76,,SSW,,12.22,101688.34,101422.38,
004HI,2024-01-15T10:10:00Z,88010.0,12.161,100.0,1.327,187.0,2.5,0.0,,14.722,15.022,,0.0,,,,13.79,-8.86,-0.88,-7.99,0.0,372.47,380.46,,S,,12.16,101699.89,101436.95,
004HI,2024-01-15T10:15:00Z,88010.0,12.1,100.0,1.826,179.5,2.943,0.0,,14.728,15.011,,0.0,,,,13.79,-11.82,-0.85,-10.97,0.0,369.07,380.04,,S,,12.1,101699.89,101439.99,
004HI,2024-01-15T10:20:00Z,88010.0,12.011,100.0,1.584,190.6,2.444,0.0,,14.711,15.022,,0.0,,,,13.79,-52.73,-2.44,-50.29,0.0,328.3,378.6,,S,,12.01,101699.89,101444.43,
004HI,2024-01-15T10:25:00Z,88010.0,11.961,100.0,0.514,192.2,1.497,0.0,,14.711,15.0,,0.0,,,,13.79,-59.91,-3.76,-56.15,0.0,321.57,377.72,,SSW,,11.96,101699.89,101446.93,
004HI,2024-01-15T10:30:00Z,88010.0,11.911,100.0,0.53,186.0,1.332,0.0,,14.678,15.022,,0.0,,,,13.79,-63.19,-4.25,-58.95,0.0,318.56,377.5,,S,,11.91,101699.89,101449.43,
004HI,2024-01-15T10:35:00Z,88010.0,11.878,100.0,0.921,182.2,1.389,0.0,,14.689,15.0,,0.0,,,,13.79,-71.81,-4.03,-67.78,0.0,309.54,377.33,,S,,11.88,101699.89,101451.08,
004HI,2024-01-15T10:40:00Z,88000.0,11.85,100.0,1.188,193.2,1.667,0.0,,14.672,15.022,,0.0,,,,13.79,-67.15,-4.13,-63.03,0.0,313.94,376.97,,SSW,,11.85,101688.34,101440.95,
004HI,2024-01-15T10:45:00Z,87990.0,11.822,100.0,1.415,181.4,1.888,0.0,,14.678,15.0,,0.0,,,,13.79,-71.97,-3.73,-68.24,0.0,308.63,376.87,,S,,11.82,101676.78,101430.82,
004HI,2024-01-15T10:50:00Z,88000.0,11.828,100.0,1.034,196.7,1.61,0.0,,14.672,14.978,,0.0,,,,13.79,-64.77,-3.92,-60.85,0.0,315.63,376.47,,SSW,,11.83,101688.34,101442.05,
004HI,2024-01-15T10:55:00Z,88000.0,11.85,100.0,1.62,193.5,2.387,0.0,,14.639,14.989,,0.0,,,,13.79,-51.88,-3.2,-48.69,0.0,328.22,376.91,,SSW,,11.85,101688.34,101440.95,
004HI,2024-01-15T11:00:00Z,87990.0,11.778,100.0,1.487,192.7,2.053,0.0,,14.639,15.0,,0.0,,,,13.79,-76.31,-3.69,-72.62,0.0,303.8,376.42,,SSW,,11.78,101676.78,101433.02,
004HI,2024-01-15T11:05:00Z,87990.0,11.7,100.0,1.338,192.7,2.279,0.0,,14.628,14.989,,0.0,,,,13.79,-81.12,-4.52,-76.61,0.0,299.27,375.87,,SSW,,11.7,101676.78,101436.92,
004HI,2024-01-15T11:10:00Z,87980.0,11.689,100.0,1.394,198.1,2.444,0.0,,14.622,15.022,,0.0,,,,13.79,-78.18,-4.47,-73.71,0.15,301.94,375.65,,SSW,,11.69,101665.23,101425.94,
004HI,2024-01-15T11:15:00Z,87970.0,11.728,100.0,1.374,206.0,2.053,0.0,,14.6,14.989,,0.0,,,,13.79,-52.42,-3.15,-49.27,0.11,326.78,376.05,,SSW,,11.73,101653.67,101412.47,
004HI,2024-01-15T11:20:00Z,87970.0,11.761,100.0,1.271,179.5,1.667,0.0,,14.611,14.978,,0.0,,,,13.79,-63.8,-3.21,-60.59,0.0,315.68,376.28,,S,,11.76,101653.67,101410.82,
004HI,2024-01-15T11:25:00Z,87970.0,11.772,100.0,1.759,193.6,2.886,0.0,,14.6,15.0,,0.0,,,,13.79,-56.63,-3.18,-53.45,0.0,322.86,376.32,,SSW,,11.77,101653.67,101410.27,
004HI,2024-01-15T11:30:00Z,87960.0,11.8,100.0,1.26,193.2,2.665,0.0,,14.6,14.989,,0.0,,,,13.79,-44.8,-2.44,-42.36,0.0,334.33,376.69,,SSW,,11.8,101642.11,101397.34,
004HI,2024-01-15T11:35:00Z,87960.0,11.722,100.0,1.399,187.5,2.33,0.0,,14.572,15.0,,0.0,,,,13.77,-47.88,-2.63,-45.24,0.0,331.25,376.49,,S,,11.72,101642.11,101401.24,
004HI,2024-01-15T11:40:00Z,87950.0,11.728,100.0,1.939,190.7,3.164,0.0,,14.561,14.989,,0.0,,,,13.79,-51.93,-2.52,-49.41,0.0,327.11,376.52,,S,,11.73,101630.56,101389.41,
004HI,2024-01-15T11:45:00Z,87940.0,11.811,100.0,2.341,193.5,3.277,0.0,,14.539,14.989,,0.0,,,,13.79,-55.8,-2.66,-53.14,0.0,323.55,376.69,,SSW,,11.81,101619.0,101373.73,
004HI,2024-01-15T11:50:00Z,87940.0,11.811,100.0,2.228,199.5,3.112,0.0,,14.55,14.978,,0.0,,,,13.79,-48.81,-2.5,-46.31,0.0,330.35,376.66,,SSW,,11.81,101619.0,101373.73,
004HI,2024-01-15T11:55:00Z,87930.0,11.8,100.0,2.86,220.7,3.611,0.0,,14.55,14.989,,0.0,,,,13.79,-59.88,-2.54,-57.34,0.0,319.19,376.52,,SW,,11.8,101607.45,101362.75,
004HI,2024-01-15T12:00:00Z,87920.0,11.8,100.0,2.603,216.3,3.663,0.0,,14.55,14.972,,0.0,,,,13.78,-63.62,-2.93,-60.7,0.03,315.58,376.28,,SW,,11.8,101595.89,101351.23,
004HI,2024-01-15T12:05:00Z,87910.0,11.772,100.0,3.226,211.8,4.11,0.0,,14.511,15.022,,0.0,,,,13.79,-59.48,-2.68,-56.8,0.0,319.42,376.22,,SSW,,11.77,101584.34,101341.1,
004HI,2024-01-15T12:10:00Z,87900.0,11.772,100.0,3.385,212.4,4.332,0.0,,14.528,14.978,,0.0,,,,13.79,-61.66,-2.68,-58.98,0.03,317.14,376.13,,SSW,,11.77,101572.78,101329.57,
004HI,2024-01-15T12:15:00Z,87900.0,11.711,100.0,3.406,210.3,4.11,0.0,,14.5,14.961,,0.0,,,,13.79,-46.83,-2.09,-44.73,0.0,331.16,375.9,,SSW,,11.71,101572.78,101332.62,
004HI,2024-01-15T12:20:00Z,87890.0,11.7,100.0,3.601,219.8,4.275,0.0,,14.489,14.95,,0.0,,,,13.79,-58.99,-2.43,-56.55,0.0,319.04,375.6,,SW,,11.7,101561.23,101321.64,
004HI,2024-01-15T12:25:00Z,87890.0,11.739,100.0,3.292,224.1,4.388,0.0,,14.489,14.972,,0.0,,,,13.79,-54.13,-2.43,-51.7,0.09,324.0,375.7,,SW,,11.74,101561.23,101319.69,
004HI,2024-01-15T12:30:00Z,87880.0,11.711,100.0,3.313,228.7,3.997,0.0,,14.472,14.95,,0.0,,,,13.79,-66.63,-2.68,-63.95,0.05,311.58,375.53,,SW,,11.71,101549.67,101309.56,
004HI,2024-01-15T12:35:00Z,87880.0,11.711,100.0,2.763,227.7,3.997,0.0,,14.472,14.95,,0.0,,,,13.79,-79.97,-3.58,-76.39,0.18,298.71,375.1,,SW,,11.71,101549.67,101309.56,
004HI,2024-01-15T12:40:00Z,87880.0,11.778,100.0,3.03,233.0,3.889,0.0,,14.478,14.939,,0.0,,,,13.79,-87.68,-4.02,-83.66,0.33,291.58,375.24,,SW,,11.78,101549.67,101306.21,
004HI,2024-01-15T12:45:00Z,87880.0,11.872,100.0,2.927,235.8,3.941,0.0,,14.461,14.939,,0.0,,,,13.79,-91.54,-4.22,-87.32,0.4,288.34,375.65,,SW,,11.87,101549.67,101301.52,
004HI,2024-01-15T12:50:00Z,87880.0,11.889,100.0,2.732,233.4,3.941,0.0,,14.439,14.95,,0.0,,,,13.79,-89.16,-4.15,-85.01,0.36,290.79,375.8,,SW,,11.89,101549.67,101300.67,
004HI,2024-01-15T12:55:00Z,87880.0,11.95,100.0,2.624,219.4,3.39,0.0,,14.422,14.922,,0.0,,,,13.79,-89.83,-4.28,-85.55,0.4,290.41,375.96,,SW,,11.95,101549.67,101297.63,
004HI,2024-01-15T13:00:00Z,87880.0,11.9,100.0,2.752,214.0,3.39,0.0,,14.422,14.939,,0.0,,,,13.78,-91.13,-4.44,-86.69,0.28,289.19,375.88,,SW,,11.9,101549.67,101300.12,
004HI,2024-01-15T13:05:00Z,87880.0,11.872,100.0,3.205,220.0,4.218,0.0,,14.389,14.928,,0.0,,,,13.79,-91.59,-4.54,-87.05,0.28,288.97,376.03,,SW,,11.87,101549.67,101301.52,
004HI,2024-01-15T13:10:00Z,87880.0,11.961,100.0,3.601,221.1,4.332,0.0,,14.411,14.928,,0.0,,,,13.79,-93.47,-5.18,-88.3,0.36,288.37,376.67,,SW,,11.96,101549.67,101297.08,
004HI,2024-01-15T13:15:00Z,87880.0,12.0,100.0,3.395,218.6,3.997,0.0,,14.411,14.922,,0.0,,,,13.79,-94.52,-6.19,-88.34,0.36,288.08,376.42,,SW,,12.0,101549.67,101295.14,
004HI,2024-01-15T13:20:00Z,87880.0,12.1,100.0,3.596,209.9,4.054,0.0,,14.372,14.928,,0.0,,,,13.79,-96.07,-7.65,-88.42,0.86,288.11,376.53,,SSW,,12.1,101549.67,101290.15,
004HI,2024-01-15T13:25:00Z,87880.0,12.261,99.5,3.637,206.3,4.388,0.0,,14.4,14.939,,0.0,,,,13.79,-96.7,-8.36,-88.34,1.23,288.18,376.52,,SSW,,12.18,101549.67,101282.14,
004HI,2024-01-15T13:30:00Z,87880.0,12.328,95.5,3.406,205.8,4.167,0.0,,14.361,14.939,,0.0,,,,13.79,-96.38,-8.45,-87.93,1.03,288.02,375.95,,SSW,,11.62,101549.67,101278.85,
004HI,2024-01-15T13:35:00Z,87890.0,12.361,95.4,3.421,206.7,4.167,0.0,,14.35,14.922,,0.0,,,,13.79,-95.63,-7.46,-88.17,0.86,287.73,375.9,,SSW,,11.64,101561.23,101288.74,
004HI,2024-01-15T13:40:00Z,87880.0,12.389,95.4,3.452,218.8,3.997,0.0,,14.372,14.922,,0.0,,,,13.79,-95.47,-7.06,-88.4,0.73,287.85,376.25,,SW,,11.67,101549.67,101275.82,
