# STATION: 005HI
# STATION NAME: IPIF
# LATITUDE: 19.69740
# LONGITUDE: -155.09540
# ELEVATION [ft]: 367.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Millimeters,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
005HI,2024-01-15T10:05:00Z,19.072,73.95,0.494,269.1,0.0,0.0,30.1,,,-0.12,-13.06,,W,,14.29
005HI,2024-01-15T10:10:00Z,19.078,73.65,0.55,252.0,0.0,0.0,30.1,12.3,,-0.12,-13.64,,WSW,,14.23
005HI,2024-01-15T10:15:00Z,19.072,73.87,0.314,257.4,0.0,0.0,30.1,,,-0.18,-15.92,,WSW,,14.27
005HI,2024-01-15T10:20:00Z,19.044,74.11,0.37,236.5,0.0,0.0,30.1,12.29,,-0.22,-21.02,,WSW,,14.3
005HI,2024-01-15T10:25:00Z,19.0,74.54,0.566,236.0,0.0,0.0,30.1,,,-0.35,-31.08,,SW,,14.34
005HI,2024-01-15T10:30:00Z,18.961,75.2,0.571,231.3,0.0,0.0,30.1,12.29,,-0.46,-38.14,,SW,,14.44
005HI,2024-01-15T10:35:00Z,18.867,76.03,0.319,246.6,0.0,0.0,30.1,,,-0.39,-32.58,,WSW,,14.52
005HI,2024-01-15T10:40:00Z,18.778,76.67,0.355,266.8,0.0,0.0,30.1,12.29,,-0.31,-26.06,,W,,14.57
005HI,2024-01-15T10:45:00Z,18.672,77.24,0.139,269.3,0.0,0.0,30.1,,,-0.31,-25.86,,W,,14.58
005HI,2024-01-15T10:50:00Z,18.594,77.33,0.288,263.0,0.0,0.0,30.1,12.28,,-0.31,-30.09,,W,,14.52
005HI,2024-01-15T10:55:00Z,18.561,77.32,0.381,251.5,0.0,0.0,30.1,,,-0.4,-37.05,,WSW,,14.49
005HI,2024-01-15T11:00:00Z,18.517,77.85,0.478,236.9,0.0,0.0,30.1,12.28,,-0.54,-48.05,,WSW,,14.55
005HI,2024-01-15T11:05:00Z,18.45,78.51,0.381,239.5,0.0,0.0,30.1,,,-0.59,-49.97,,WSW,,14.62
005HI,2024-01-15T11:10:00Z,18.378,78.93,0.211,243.4,0.0,0.0,30.1,12.27,,-0.52,-46.76,,WSW,,14.63
005HI,2024-01-15T11:15:00Z,18.328,79.52,0.149,251.6,0.0,0.0,30.1,,,-0.45,-40.37,,WSW,,14.7
005HI,2024-01-15T11:20:00Z,18.283,80.17,0.427,235.7,0.0,0.0,30.1,12.27,,-0.37,-41.55,,SW,,14.78
005HI,2024-01-15T11:25:00Z,18.306,80.55,0.478,223.9,0.0,0.0,30.1,,,-0.47,-47.42,,SW,,14.88
005HI,2024-01-15T11:30:00Z,18.333,80.56,0.545,214.9,0.0,0.0,30.1,12.27,,-0.54,-54.18,,SW,,14.91
005HI,2024-01-15T11:35:00Z,18.3,80.58,0.442,218.3,0.0,0.0,30.1,,,-0.56,-50.46,,SW,,14.88
005HI,2024-01-15T11:40:00Z,18.25,80.66,0.52,218.7,0.0,0.0,30.1,12.26,,-0.42,-44.76,,SW,,14.85
005HI,2024-01-15T11:45:00Z,18.2,80.64,0.396,227.9,0.0,0.0,30.0,,,-0.59,-56.45,,SW,,14.79
005HI,2024-01-15T11:50:00Z,18.128,80.59,0.35,235.6,0.0,0.0,30.0,12.26,,-0.65,-56.3,,SW,,14.71
005HI,2024-01-15T11:55:00Z,18.006,81.0,0.432,233.5,0.0,0.0,30.0,,,-0.5,-52.25,,SW,,14.67
005HI,2024-01-15T12:00:00Z,17.967,80.98,0.545,217.6,0.0,0.0,30.1,12.25,,-0.67,-65.4,,SW,,14.63
005HI,2024-01-15T12:05:00Z,17.906,80.35,0.489,241.6,0.0,0.0,30.1,,,-0.79,-75.03,,WSW,,14.45
005HI,2024-01-15T12:10:00Z,17.806,79.77,0.643,238.0,0.0,0.0,30.1,12.24,,-0.82,-77.5,,WSW,,14.24
005HI,2024-01-15T12:15:00Z,17.65,79.87,0.37,248.4,0.0,0.0,30.0,,,-0.87,-76.74,,WSW,,14.11
005HI,2024-01-15T12:20:00Z,17.461,80.17,0.545,243.0,0.0,0.0,30.0,12.24,,-0.83,-77.11,,WSW,,13.98
005HI,2024-01-15T12:25:00Z,17.333,80.2,0.293,256.9,0.0,0.0,30.0,,,-0.84,-77.23,,WSW,,13.86
005HI,2024-01-15T12:30:00Z,17.178,80.62,0.386,237.8,0.0,0.0,30.0,12.24,,-0.81,-75.56,,WSW,,13.79
005HI,2024-01-15T12:35:00Z,17.011,81.14,0.401,228.9,0.0,0.0,30.0,,,-0.79,-76.29,,SW,,13.73
005HI,2024-01-15T12:40:00Z,16.883,81.36,0.139,239.0,0.0,0.0,30.0,12.24,,-0.84,-75.82,,WSW,,13.65
005HI,2024-01-15T12:45:00Z,16.861,81.34,0.731,217.1,0.0,0.0,30.0,,,-0.69,-76.34,,SW,,13.62
005HI,2024-01-15T12:50:00Z,16.861,81.07,0.715,221.7,0.0,0.0,30.0,12.23,,-0.76,-76.74,,SW,,13.57
005HI,2024-01-15T12:55:00Z,16.789,81.15,0.442,235.2,0.0,0.0,30.0,,,-0.75,-75.49,,SW,,13.51
