# STATION: 006HI
# STATION NAME: Spencer
# LATITUDE: 19.96400
# LONGITUDE: -155.25000
# ELEVATION [ft]: 1539.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
006HI,2024-01-15T10:05:00Z,15.433,83.74,1.353,208.6,0.0,18.55,0.0,66.3,67.6,72.7,,-75.77,-0.65,-75.11,0.0,305.2,380.94,,SSW,,12.67
006HI,2024-01-15T10:10:00Z,14.989,85.49,2.104,201.5,0.0,18.539,0.0,66.3,67.6,72.7,12.17,-75.55,-0.69,-74.86,0.0,304.96,380.11,,SSW,,12.55
006HI,2024-01-15T10:15:00Z,14.761,87.38,2.526,202.1,0.0,18.522,0.0,66.3,67.6,72.7,,-74.86,-0.62,-74.24,0.0,305.71,380.3,,SSW,,12.67
006HI,2024-01-15T10:20:00Z,14.75,87.13,2.788,195.7,0.0,18.5,0.0,66.3,67.6,72.7,12.16,-75.64,-0.65,-74.99,0.04,305.43,380.55,,SSW,,12.61
006HI,2024-01-15T10:25:00Z,14.811,86.11,2.577,191.7,0.0,18.472,0.0,66.3,67.6,72.7,,-75.86,-0.68,-75.17,0.0,304.25,379.98,,SSW,,12.49
006HI,2024-01-15T10:30:00Z,14.711,86.2,2.12,190.1,0.0,18.45,0.0,66.3,67.6,72.7,12.16,-74.74,-0.67,-74.08,0.0,304.43,378.79,,S,,12.41
006HI,2024-01-15T10:35:00Z,14.561,86.98,2.351,191.9,0.0,18.428,0.0,66.3,67.6,72.7,,-73.86,-0.65,-73.22,0.0,304.71,378.22,,SSW,,12.4
006HI,2024-01-15T10:40:00Z,14.567,87.12,2.264,195.4,0.0,18.411,0.0,66.2,67.6,72.7,12.16,-74.16,-0.62,-73.53,0.0,304.76,378.64,,SSW,,12.43
006HI,2024-01-15T10:45:00Z,14.594,86.95,2.521,196.1,0.0,18.378,0.0,66.2,67.6,72.7,,-74.08,-0.6,-73.48,0.0,305.02,378.76,,SSW,,12.43
006HI,2024-01-15T10:50:00Z,14.667,86.02,2.377,200.1,0.0,18.361,0.0,66.3,67.6,72.7,12.16,-74.14,-0.58,-73.56,0.0,304.58,378.59,,SSW,,12.33
006HI,2024-01-15T10:55:00Z,14.45,86.61,2.217,193.6,0.0,18.339,0.0,66.2,67.6,72.7,,-75.2,-0.66,-74.54,0.0,302.9,377.81,,SSW,,12.22
006HI,2024-01-15T11:00:00Z,14.622,86.97,2.428,188.8,0.0,18.311,0.0,66.2,67.6,72.7,12.15,-75.9,-0.58,-75.32,0.06,303.8,379.4,,S,,12.46
006HI,2024-01-15T11:05:00Z,15.239,83.54,3.051,186.6,0.0,18.278,0.0,66.3,67.6,72.7,,-78.45,-0.61,-77.84,0.05,302.73,380.96,,S,,12.44
006HI,2024-01-15T11:10:00Z,15.844,81.56,3.076,186.8,0.0,18.25,0.0,66.3,67.6,72.7,12.15,-81.2,-0.67,-80.53,0.09,302.35,383.28,,S,,12.67
006HI,2024-01-15T11:15:00Z,16.256,79.34,3.04,191.7,0.0,18.211,0.0,66.3,67.6,72.7,,-82.52,-0.65,-81.88,0.01,301.65,383.99,,SSW,,12.65
006HI,2024-01-15T11:20:00Z,16.256,79.59,3.246,185.9,0.0,18.178,0.0,66.2,67.6,72.7,12.15,-82.95,-0.67,-82.28,0.0,301.69,384.45,,S,,12.69
