# STATION: 007HI
# STATION NAME: Laupahoehoe
# LATITUDE: 19.93200
# LONGITUDE: -155.29100
# ELEVATION [ft]: 3776.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
007HI,2024-01-15T10:05:00Z,12.778,84.98,1.389,191.0,0.0,,,0.0,,,,,0.08,0.0,0.0,,S,,10.29
007HI,2024-01-15T10:10:00Z,13.183,65.91,0.499,193.3,0.0,,,0.0,,,,12.32,0.7,0.0,0.0,,SSW,,6.89
007HI,2024-01-15T10:15:00Z,13.489,67.96,0.231,120.5,0.0,,,0.0,,,,,0.03,0.0,0.0,,ESE,,7.64
007HI,2024-01-15T10:20:00Z,13.711,80.82,0.175,184.8,0.0,,,0.0,,,,12.33,0.43,0.0,0.0,,S,,10.44
007HI,2024-01-15T10:25:00Z,14.067,84.36,0.01,121.4,0.0,,,0.0,,,,,0.63,0.0,0.0,,ESE,,11.44
007HI,2024-01-15T10:30:00Z,13.867,84.72,0.015,173.7,0.0,,,0.0,,,,12.22,0.52,0.0,0.0,,S,,11.31
007HI,2024-01-15T10:35:00Z,13.872,85.65,0.211,173.2,0.0,,,0.0,,,,,0.11,0.0,0.0,,S,,11.48
007HI,2024-01-15T10:40:00Z,13.783,66.16,1.399,201.4,0.0,,,0.0,,,,12.21,0.97,0.0,0.0,,SSW,,7.52
007HI,2024-01-15T10:45:00Z,13.7,54.98,1.518,191.2,0.0,,,0.0,,,,,0.88,0.0,0.0,,S,,4.74
007HI,2024-01-15T10:50:00Z,13.567,57.47,0.427,156.8,0.0,,,0.0,,,,12.32,0.0,0.0,0.0,,SSE,,5.26
