# STATION: 008HI
# STATION NAME: Palamamnui
# LATITUDE: 19.74800
# LONGITUDE: -155.99600
# ELEVATION [ft]: 869.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Millimeters,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
008HI,2024-01-15T10:05:00Z,17.672,81.49,0.869,87.5,0.0,0.0,10.3,,1.14,0.0,0.0,,E,,14.44
008HI,2024-01-15T10:10:00Z,18.172,78.82,1.137,87.1,0.0,0.0,10.3,12.51,2.04,0.0,0.0,,E,,14.41
008HI,2024-01-15T10:15:00Z,18.478,76.9,0.885,95.6,0.0,0.0,10.3,,1.8,0.0,0.0,,E,,14.32
008HI,2024-01-15T10:20:00Z,18.617,75.27,1.157,106.6,0.0,0.0,10.3,12.61,1.68,0.0,0.0,,ESE,,14.12
008HI,2024-01-15T10:25:00Z,18.75,73.83,0.931,108.3,0.0,0.0,10.3,,1.59,0.0,0.0,,ESE,,13.95
008HI,2024-01-15T10:30:00Z,18.7,73.27,0.993,101.8,0.0,0.0,10.3,12.61,1.26,0.0,0.0,,ESE,,13.79
008HI,2024-01-15T10:35:00Z,18.667,73.02,0.952,103.2,0.0,0.0,10.3,,1.18,0.0,0.0,,ESE,,13.7
008HI,2024-01-15T10:40:00Z,18.683,73.36,1.168,105.8,0.0,0.0,10.3,12.61,1.28,0.0,0.0,,ESE,,13.79
008HI,2024-01-15T10:45:00Z,18.806,73.34,1.327,114.4,0.0,0.0,10.3,,1.43,0.0,0.0,,ESE,,13.9
008HI,2024-01-15T10:50:00Z,18.75,73.67,1.029,124.3,0.0,0.0,10.3,12.61,1.19,0.0,0.0,,SE,,13.92
