# STATION: 009HI
# STATION NAME: Mamalahoa
# LATITUDE: 19.80300
# LONGITUDE: -155.85100
# ELEVATION [ft]: 1978.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Millimeters,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
009HI,2024-01-15T10:05:00Z,12.95,93.41,0.221,114.4,0.0,0.0,34.9,,-51.39,-0.7,-50.69,0.05,329.14,378.63,,ESE,,11.9
009HI,2024-01-15T10:10:00Z,12.828,93.75,0.432,122.0,0.0,0.0,34.9,12.76,-48.47,-0.6,-47.87,0.06,332.08,378.77,,ESE,,11.84
009HI,2024-01-15T10:15:00Z,12.783,94.03,0.391,127.9,0.0,0.0,34.9,,-46.33,-0.58,-45.75,0.06,334.33,378.93,,SE,,11.84
009HI,2024-01-15T10:20:00Z,12.689,94.22,0.432,129.8,0.0,0.0,34.9,12.75,-41.84,-0.55,-41.29,0.05,338.5,378.62,,SE,,11.77
009HI,2024-01-15T10:25:00Z,12.622,94.43,0.499,127.3,0.0,0.0,34.9,,-34.16,-0.46,-33.7,0.06,347.06,379.47,,SE,,11.74
009HI,2024-01-15T10:30:00Z,12.7,94.78,0.514,101.6,0.0,0.0,34.9,12.75,-29.17,-0.43,-28.73,0.06,352.64,380.08,,ESE,,11.88
009HI,2024-01-15T10:35:00Z,12.806,94.76,0.607,106.4,0.0,0.0,34.9,,-27.07,-0.39,-26.68,0.05,355.4,380.8,,ESE,,11.98
009HI,2024-01-15T10:40:00Z,12.739,94.6,0.391,120.8,0.0,0.0,34.9,12.74,-29.61,-0.45,-29.16,0.04,352.65,380.54,,ESE,,11.89
009HI,2024-01-15T10:45:00Z,12.689,94.71,0.34,121.7,0.0,0.0,34.9,,-39.35,-0.59,-38.76,0.05,342.0,379.47,,ESE,,11.85
009HI,2024-01-15T10:50:00Z,12.683,94.89,0.669,129.9,0.0,0.0,34.9,12.74,-41.91,-0.5,-41.41,0.05,339.26,379.41,,SE,,11.88
009HI,2024-01-15T10:55:00Z,12.739,94.91,0.612,130.3,0.0,0.0,34.9,,-44.48,-0.59,-43.9,0.06,336.43,379.15,,SE,,11.94
009HI,2024-01-15T11:00:00Z,12.744,94.76,0.586,127.5,0.0,0.0,34.9,12.74,-45.36,-0.63,-44.73,0.07,335.18,378.81,,SE,,11.92
009HI,2024-01-15T11:05:00Z,12.628,94.47,0.581,127.2,0.0,0.0,34.9,,-45.54,-0.64,-44.89,0.06,333.85,377.71,,SE,,11.75
009HI,2024-01-15T11:10:00Z,12.528,94.55,0.556,121.3,0.0,0.0,34.9,12.73,-45.44,-0.68,-44.77,0.07,333.58,377.23,,ESE,,11.67
