# STATION: 010HI
# STATION NAME: PuuWaawaa
# LATITUDE: 19.72540
# LONGITUDE: -155.87380
# ELEVATION [ft]: 5427.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
010HI,2024-01-15T10:05:00Z,16.056,37.68,0.185,216.2,0.0,,,0.0,,,,,0.0,0.0,0.0,,SW,,1.53
010HI,2024-01-15T10:10:00Z,15.944,40.17,0.839,175.4,0.0,,,0.0,,,,12.27,0.0,0.0,0.0,,S,,2.33
010HI,2024-01-15T10:15:00Z,16.011,40.56,0.123,169.3,0.0,,,0.0,,,,,0.0,0.0,0.0,,S,,2.53
010HI,2024-01-15T10:20:00Z,15.983,40.42,0.242,150.3,0.0,,,0.0,,,,12.26,0.0,0.0,0.0,,SSE,,2.45
010HI,2024-01-15T10:25:00Z,16.078,39.89,0.288,139.9,0.0,,,0.0,,,,,0.0,0.0,0.0,,SE,,2.35
010HI,2024-01-15T10:30:00Z,16.056,37.4,0.422,214.6,0.0,,,0.0,,,,12.26,0.0,0.0,0.0,,SW,,1.43
010HI,2024-01-15T10:35:00Z,15.978,37.69,0.556,232.9,0.0,,,0.0,,,,,0.0,0.0,0.0,,SW,,1.47
010HI,2024-01-15T10:40:00Z,15.933,39.42,0.334,322.8,0.0,,,0.0,,,,12.26,0.0,0.0,0.0,,NW,,2.05
010HI,2024-01-15T10:45:00Z,15.872,38.59,0.535,162.4,0.0,,,0.0,,,,,0.0,0.0,0.0,,SSE,,1.7
010HI,2024-01-15T10:50:00Z,15.928,37.91,1.338,158.2,0.0,,,0.0,,,,12.25,0.0,0.0,0.0,,SSE,,1.5
010HI,2024-01-15T10:55:00Z,15.911,36.99,0.633,164.8,0.0,,,0.0,,,,,0.0,0.0,0.0,,SSE,,1.14
010HI,2024-01-15T11:00:00Z,15.828,37.31,0.139,197.1,0.0,,,0.0,,,,12.25,0.0,0.0,0.0,,SSW,,1.19
010HI,2024-01-15T11:05:00Z,15.761,39.24,0.622,196.8,0.0,,,0.0,,,,,0.0,0.0,0.0,,SSW,,1.84
010HI,2024-01-15T11:10:00Z,15.856,37.77,0.098,170.5,0.0,,,0.0,,,,12.25,0.0,0.0,0.0,,S,,1.39
010HI,2024-01-15T11:15:00Z,16.022,35.6,0.376,175.5,0.0,,,0.0,,,,,0.0,0.0,0.0,,S,,0.71
010HI,2024-01-15T11:20:00Z,16.1,34.73,0.17,173.9,0.0,,,0.0,,,,12.25,0.0,0.0,0.0,,S,,0.44
010HI,2024-01-15T11:25:00Z,16.011,35.85,0.406,213.6,0.0,,,0.0,,,,,0.0,0.0,0.0,,SSW,,0.8
