# STATION: 011HI
# STATION NAME: Lyon
# LATITUDE: 21.33300
# LONGITUDE: -157.80250
# ELEVATION [ft]: 495.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
011HI,2024-01-15T10:05:00Z,99370.0,16.922,100.0,0.309,6.38,0.586,0.0,,0.0,51.4,49.7,56.3,12.49,-64.65,-5.21,-59.44,1.83,336.08,395.52,,N,,16.92,101167.63,101148.31,
011HI,2024-01-15T10:10:00Z,99360.0,16.922,100.0,0.298,4.51,0.622,0.0,,0.0,51.4,49.7,56.3,12.49,-64.84,-5.3,-59.54,1.92,336.09,395.63,,N,,16.92,101157.45,101138.13,
011HI,2024-01-15T10:15:00Z,99350.0,16.961,100.0,0.231,6.06,0.489,0.0,,0.0,51.4,49.7,56.3,12.48,-65.45,-5.38,-60.08,1.93,335.46,395.54,,N,,16.96,101147.26,101127.71,
011HI,2024-01-15T10:20:00Z,99340.0,16.9,100.0,0.165,7.67,0.586,0.0,,0.0,51.4,49.7,56.3,12.48,-65.75,-5.53,-60.22,1.83,335.04,395.27,,N,,16.9,101137.08,101117.9,
011HI,2024-01-15T10:25:00Z,99340.0,16.9,100.0,0.103,3.93,0.458,0.0,,0.0,51.4,49.7,56.3,12.48,-65.65,-5.53,-60.12,1.95,334.98,395.1,,N,,16.9,101137.08,101117.9,
011HI,2024-01-15T10:30:00Z,99330.0,16.9,100.0,0.144,3.62,0.329,0.0,,0.0,51.4,49.7,56.3,12.48,-65.39,-5.42,-59.98,1.84,334.9,394.88,,N,,16.9,101126.9,101107.73,
011HI,2024-01-15T10:35:00Z,99330.0,16.878,100.0,0.391,6.68,0.72,0.0,,0.0,51.4,49.7,56.3,12.48,-65.09,-5.23,-59.87,1.86,335.49,395.36,,N,,16.88,101126.9,101107.86,
011HI,2024-01-15T10:40:00Z,99330.0,16.928,100.0,0.237,1.8,0.36,0.0,,0.0,51.4,49.7,56.3,12.47,-64.9,-5.2,-59.69,1.87,335.77,395.47,,N,,16.93,101126.9,101107.55,
011HI,2024-01-15T10:45:00Z,99340.0,16.922,100.0,0.334,4.05,0.684,0.0,,0.0,51.4,49.7,56.3,12.48,-64.5,-5.23,-59.27,1.77,336.28,395.55,,N,,16.92,101137.08,101117.77,
