# STATION: 012HI
# STATION NAME: Nuuanu Res 1
# LATITUDE: 21.33910
# LONGITUDE: -157.83690
# ELEVATION [ft]: 384.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
012HI,2024-01-15T10:05:00Z,99760.0,17.939,85.6,0.869,49.25,1.831,0.0,21.344,22.65,22.95,21.428,0.0,49.3,50.3,49.8,13.12,-75.17,-5.45,-69.73,1.33,333.53,403.25,,NE,,15.47,101156.64,101137.87,
012HI,2024-01-15T10:10:00Z,99760.0,17.9,85.4,1.008,54.2,1.831,0.0,21.317,22.65,22.95,21.428,0.0,49.3,50.3,49.7,13.07,-75.61,-5.62,-69.99,1.27,332.7,402.69,,NE,,15.4,101156.64,101138.06,
012HI,2024-01-15T10:15:00Z,99750.0,17.861,85.5,0.514,47.69,1.276,0.0,21.317,22.65,22.95,21.378,0.0,49.3,50.3,49.7,13.02,-74.91,-5.8,-69.12,1.31,337.31,406.43,,NE,,15.38,101146.5,101128.1,
012HI,2024-01-15T10:20:00Z,99740.0,17.828,85.5,0.751,49.22,1.497,0.0,21.283,22.589,22.939,21.361,0.0,49.2,50.3,49.8,13.1,-76.14,-5.87,-70.28,1.05,333.24,403.52,,NE,,15.35,101136.36,101118.12,
012HI,2024-01-15T10:25:00Z,99740.0,17.811,85.7,0.731,44.69,1.667,0.0,21.222,22.572,22.95,21.328,0.0,49.2,50.3,49.7,13.11,-75.6,-5.73,-69.87,1.25,332.15,402.02,,NE,,15.37,101136.36,101118.2,
012HI,2024-01-15T10:30:00Z,99730.0,17.778,85.7,0.633,53.93,1.775,0.0,21.189,22.55,22.961,21.278,0.0,49.2,50.3,49.8,13.06,-75.23,-5.92,-69.31,1.37,331.94,401.25,,NE,,15.33,101126.22,101108.22,
012HI,2024-01-15T10:35:00Z,99730.0,17.75,85.7,0.628,53.37,1.389,0.0,21.2,22.522,22.972,21.239,0.0,49.2,50.3,49.7,13.01,-73.69,-5.8,-67.89,1.31,337.41,405.3,,NE,,15.31,101126.22,101108.36,
012HI,2024-01-15T10:40:00Z,99730.0,17.722,86.0,0.592,51.05,1.667,0.0,21.167,22.511,22.961,21.222,0.0,49.2,50.3,49.7,13.1,-74.3,-5.79,-68.51,1.2,334.04,402.55,,NE,,15.33,101126.22,101108.49,
012HI,2024-01-15T10:45:00Z,99740.0,17.778,86.1,0.849,54.03,1.945,0.0,21.1,22.5,22.928,21.189,0.0,49.2,50.3,49.8,13.06,-74.14,-5.48,-68.66,1.37,333.11,401.77,,NE,,15.41,101136.36,101118.36,
