# STATION: 013HI
# STATION NAME: Nene Nest
# LATITUDE: 20.73820
# LONGITUDE: -156.24580
# ELEVATION [ft]: 8497.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Millimeters,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
013HI,2024-01-15T10:00:00Z,9.472,32.41,3.431,216.4,5.654,0.0,7.867,0.0,12.8,17.7,12.34,-108.97,-6.8,-102.17,1.32,234.11,336.27,,SW,,-6.36
013HI,2024-01-15T10:05:00Z,9.328,32.41,3.107,213.5,5.129,0.0,7.833,0.0,12.8,17.7,12.34,-108.7,-6.83,-101.87,0.95,233.51,335.38,,SSW,,-6.49
013HI,2024-01-15T10:10:00Z,9.272,31.76,3.539,211.2,5.062,0.0,7.794,0.0,12.8,17.7,12.34,-109.04,-6.83,-102.21,1.19,233.15,335.36,,SSW,,-6.8
013HI,2024-01-15T10:15:00Z,9.2,32.25,3.22,214.7,4.311,0.0,7.761,0.0,12.8,17.7,12.34,-108.52,-6.7,-101.83,0.98,233.13,334.95,,SW,,-6.67
013HI,2024-01-15T10:20:00Z,8.978,33.06,3.169,212.4,4.476,0.0,7.733,0.0,12.8,17.7,12.34,-108.15,-6.72,-101.43,0.8,232.64,334.07,,SSW,,-6.54
013HI,2024-01-15T10:25:00Z,9.272,32.19,3.869,215.6,5.587,0.0,7.661,0.0,12.8,17.7,12.33,-109.01,-6.84,-102.16,1.71,233.28,335.45,,SW,,-6.63
013HI,2024-01-15T10:30:00Z,9.322,32.64,3.915,214.0,5.355,0.0,7.6,0.0,12.8,17.7,12.33,-108.98,-6.76,-102.22,1.47,233.62,335.83,,SW,,-6.4
013HI,2024-01-15T10:35:00Z,9.278,32.49,4.038,211.0,5.453,0.0,7.561,0.0,12.8,17.7,12.33,-108.94,-6.6,-102.34,1.15,233.34,335.69,,SSW,,-6.5
013HI,2024-01-15T10:40:00Z,9.189,32.85,4.008,214.0,6.076,0.0,7.506,0.0,12.8,17.7,12.33,-108.83,-6.52,-102.31,1.03,233.33,335.63,,SW,,-6.43
013HI,2024-01-15T10:45:00Z,9.228,32.97,4.09,214.1,7.614,0.0,7.467,0.0,12.8,17.7,12.33,-109.24,-6.61,-102.62,1.21,233.11,335.73,,SW,,-6.35
013HI,2024-01-15T10:50:00Z,9.25,33.48,,217.7,5.391,0.0,7.422,0.0,12.8,17.7,12.32,-109.51,-6.6,-102.91,1.04,232.76,335.67,,SW,,-6.13
013HI,2024-01-15T10:55:00Z,9.128,33.81,4.368,210.5,5.751,0.0,7.383,0.0,12.8,17.7,12.32,-109.49,-6.43,-103.06,0.91,232.55,335.61,,SSW,,-6.11
013HI,2024-01-15T11:00:00Z,9.089,34.1,4.378,210.2,6.271,0.0,7.35,0.0,12.8,17.7,12.32,-110.0,-6.37,-103.63,0.97,231.99,335.62,,SSW,,-6.03
013HI,2024-01-15T11:05:00Z,8.95,34.33,4.008,212.6,5.715,0.0,7.317,0.0,12.8,17.7,12.32,-109.55,-6.43,-103.12,0.8,231.9,335.02,,SSW,,-6.07
013HI,2024-01-15T11:10:00Z,9.111,34.53,3.956,218.7,6.076,0.0,7.278,0.0,12.8,17.7,12.32,-109.99,-6.64,-103.35,1.22,231.89,335.24,,SW,,-5.85
013HI,2024-01-15T11:15:00Z,8.861,35.46,3.735,211.3,5.391,0.0,7.261,0.0,12.8,17.7,12.32,-109.77,-6.49,-103.28,0.68,231.11,334.39,,SSW,,-5.72
013HI,2024-01-15T11:20:00Z,8.672,36.4,3.925,208.7,5.098,0.0,7.233,0.0,12.8,17.7,12.31,-110.27,-6.57,-103.7,0.75,230.29,333.99,,SSW,,-5.55
013HI,2024-01-15T11:25:00Z,8.739,36.45,3.683,212.2,5.129,0.0,7.2,0.0,12.8,17.7,12.31,-110.05,-6.67,-103.38,1.07,230.39,333.77,,SSW,,-5.47
013HI,2024-01-15T11:30:00Z,8.75,36.45,3.992,207.0,5.52,0.0,7.161,0.0,12.8,17.7,12.31,-110.0,-6.6,-103.4,1.15,230.39,333.79,,SSW,,-5.46
013HI,2024-01-15T11:35:00Z,8.739,36.49,3.925,207.5,5.52,0.0,7.133,0.0,12.8,17.7,12.31,-110.15,-6.61,-103.54,1.21,230.35,333.89,,SSW,,-5.45
013HI,2024-01-15T11:40:00Z,8.722,36.42,3.869,207.3,5.098,0.0,7.1,0.0,12.8,17.7,12.31,-109.75,-6.6,-103.15,1.15,230.46,333.61,,SSW,,-5.49
013HI,2024-01-15T11:45:00Z,8.711,36.5,4.008,206.7,5.489,0.0,7.056,0.0,12.8,17.6,12.31,-109.76,-6.49,-103.27,1.08,230.29,333.56,,SSW,,-5.47
013HI,2024-01-15T11:50:00Z,8.811,36.02,3.992,210.5,6.045,0.0,7.011,0.0,12.8,17.6,12.31,-109.87,-6.68,-103.19,1.32,230.57,333.75,,SSW,,-5.56
013HI,2024-01-15T11:55:00Z,8.75,36.44,4.054,207.8,6.307,0.0,6.983,0.0,12.8,17.7,12.31,-110.17,-6.54,-103.64,1.1,229.99,333.63,,SSW,,-5.46
013HI,2024-01-15T12:00:00Z,8.661,36.85,4.368,204.8,5.947,0.0,6.939,0.0,12.8,17.6,12.3,-110.57,-6.49,-104.08,1.04,229.56,333.63,,SSW,,-5.39
