# STATION: 014HI
# STATION NAME: Waipa
# LATITUDE: 22.20260
# LONGITUDE: -159.51880
# ELEVATION [ft]: 16.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
014HI,2024-01-15T10:05:00Z,101150.0,13.511,95.1,0.478,224.2,0.89,0.0,19.528,20.072,21.7,19.761,0.0,57.1,64.2,71.7,12.89,-52.55,-3.53,-49.03,0.25,325.01,374.04,,SW,,12.73,101208.54,101208.8,
014HI,2024-01-15T10:10:00Z,101140.0,13.511,95.0,0.242,300.9,0.72,0.0,19.506,20.111,21.722,19.75,0.0,57.1,64.2,71.7,12.93,-51.56,-3.46,-48.1,0.0,325.02,373.12,,WNW,,12.72,101198.53,101198.79,
014HI,2024-01-15T10:15:00Z,101130.0,13.511,95.1,0.237,160.2,0.833,0.0,19.461,20.078,21.7,19.739,0.0,57.1,64.2,71.7,12.96,-52.54,-3.63,-48.91,0.0,323.25,372.16,,SSE,,12.73,101188.53,101188.79,
014HI,2024-01-15T10:20:00Z,101120.0,13.472,95.0,0.72,199.2,1.224,0.0,19.45,20.061,21.678,19.739,0.0,57.1,64.2,71.7,12.88,-51.26,-3.27,-47.98,0.0,324.47,372.45,,SSW,,12.68,101178.52,101178.79,
014HI,2024-01-15T10:25:00Z,101120.0,13.178,94.7,0.319,187.9,1.055,0.0,19.472,20.061,21.75,19.739,0.0,57.1,64.2,71.7,12.92,-51.76,-3.55,-48.21,0.0,324.08,372.28,,S,,12.34,101178.52,101178.85,
014HI,2024-01-15T10:30:00Z,101120.0,12.978,94.7,0.015,283.8,0.334,0.0,19.433,20.05,21.678,19.689,0.0,57.1,64.2,71.7,12.95,-52.95,-4.13,-48.82,0.0,322.15,370.97,,WNW,,12.14,101178.52,101178.89,
014HI,2024-01-15T10:35:00Z,101120.0,13.25,95.2,0.19,200.3,0.664,0.0,19.428,20.072,21.689,19.678,0.0,57.1,64.2,71.7,12.88,-50.68,-3.25,-47.43,0.0,322.88,370.31,,SSW,,12.49,101178.52,101178.83,
014HI,2024-01-15T10:40:00Z,101120.0,12.939,94.8,0.0,,0.0,0.0,19.45,20.039,21.689,19.7,0.0,57.1,64.2,71.7,12.92,-51.89,-4.01,-47.88,0.0,322.41,370.29,,,,12.12,101178.52,101178.9,
014HI,2024-01-15T10:45:00Z,101100.0,13.078,95.2,0.0,,0.0,0.0,19.4,20.061,21.678,19.672,0.0,57.1,64.2,71.7,12.95,-51.88,-3.7,-48.18,0.31,321.33,369.51,,,,12.32,101158.51,101158.86,
014HI,2024-01-15T10:50:00Z,101100.0,13.172,95.3,0.0,,0.0,0.0,19.389,20.05,21.7,19.672,0.0,57.1,64.2,71.7,12.88,-50.78,-3.5,-47.28,0.0,321.27,368.56,,,,12.43,101158.51,101158.84,
014HI,2024-01-15T10:55:00Z,101090.0,13.222,95.3,0.149,252.2,0.612,0.0,19.411,20.028,21.689,19.678,0.0,57.1,64.2,71.7,12.87,-50.09,-3.75,-46.34,0.22,322.41,368.74,,WSW,,12.48,101148.5,101148.82,
014HI,2024-01-15T11:00:00Z,101090.0,12.989,95.0,0.005,165.0,0.221,0.0,19.389,20.028,21.689,19.65,0.0,57.1,64.2,71.7,12.91,-50.36,-3.73,-46.63,0.0,322.4,369.03,,SSE,,12.2,101148.5,101148.87,
014HI,2024-01-15T11:05:00Z,101090.0,12.961,95.2,0.283,199.7,0.941,0.0,19.333,20.028,21.661,19.639,0.0,57.1,64.2,71.7,12.94,-52.71,-3.24,-49.48,0.0,319.22,368.7,,SSW,,12.2,101148.5,101148.88,
014HI,2024-01-15T11:10:00Z,101080.0,12.972,95.3,0.031,238.0,0.391,0.0,19.322,20.028,21.65,19.65,0.0,57.1,64.2,71.8,12.87,-50.97,-3.34,-47.63,0.0,320.56,368.2,,WSW,,12.23,101138.5,101138.87,
014HI,2024-01-15T11:15:00Z,101080.0,12.928,95.3,0.0,,0.0,0.0,19.344,20.028,21.689,19.611,0.0,57.1,64.1,71.7,12.91,-51.93,-4.35,-47.58,0.0,320.39,367.97,,,,12.19,101138.5,101138.88,
014HI,2024-01-15T11:20:00Z,101080.0,13.05,95.4,0.0,,0.0,,19.294,20.011,21.678,19.6,0.0,57.1,64.2,71.7,12.94,-50.63,-3.89,-46.74,0.0,320.84,367.58,,,,12.32,101138.5,101138.85,
014HI,2024-01-15T11:25:00Z,101080.0,12.961,95.3,0.067,225.2,0.664,0.0,19.278,20.0,21.689,19.589,0.0,57.1,64.2,71.7,12.86,-50.1,-3.57,-46.53,0.0,320.44,366.96,,SW,,12.22,101138.5,101138.87,
014HI,2024-01-15T11:30:00Z,101080.0,12.961,95.4,0.0,,0.0,0.0,19.289,19.989,21.689,19.561,0.0,57.1,64.2,71.8,12.86,-50.47,-3.27,-47.19,0.0,320.47,367.66,,,,12.24,101138.5,101138.87,
014HI,2024-01-15T11:35:00Z,101070.0,12.861,95.3,0.0,,0.0,0.0,19.267,19.961,21.689,19.561,0.0,57.1,64.2,71.7,12.9,-50.6,-3.91,-46.69,0.0,320.63,367.33,,,,12.12,101128.49,101128.88,
014HI,2024-01-15T11:40:00Z,101060.0,12.761,95.3,0.247,229.8,0.833,0.0,19.222,19.978,21.722,19.55,0.0,57.1,64.2,71.7,12.93,-52.29,-4.05,-48.24,0.0,318.6,366.84,,SW,,12.02,101118.49,101118.9,
014HI,2024-01-15T11:45:00Z,101060.0,12.728,95.4,0.005,246.0,0.221,0.0,19.211,19.989,21.689,19.55,0.0,57.1,64.2,71.7,12.86,-50.3,-3.72,-46.58,0.0,319.84,366.42,,WSW,,12.0,101118.49,101118.91,
014HI,2024-01-15T11:50:00Z,101060.0,12.922,95.7,0.247,172.3,0.664,0.0,19.228,19.978,21.678,19.528,0.0,57.1,64.1,71.8,12.85,-48.7,-2.81,-45.88,0.0,321.56,367.44,,S,,12.24,101118.49,101118.87,
014HI,2024-01-15T11:55:00Z,101050.0,12.822,95.5,0.34,201.8,1.111,0.0,19.206,19.972,21.722,19.511,0.0,57.1,64.2,71.7,12.9,-48.85,-2.86,-45.99,0.0,321.77,367.76,,SSW,,12.11,101108.48,101108.88,
014HI,2024-01-15T12:00:00Z,101050.0,12.689,95.4,0.437,231.9,0.664,0.0,19.156,19.972,21.678,19.511,0.0,57.1,64.2,71.7,12.93,-50.0,-3.42,-46.58,0.0,320.29,366.88,,SW,,11.96,101108.48,101108.91,
014HI,2024-01-15T12:05:00Z,101050.0,12.689,95.6,0.7,242.4,1.276,0.0,19.144,19.95,21.689,19.5,0.0,57.2,64.2,71.7,12.85,-47.42,-3.18,-44.24,0.37,322.14,366.39,,WSW,,12.0,101108.48,101108.91,
014HI,2024-01-15T12:10:00Z,101050.0,12.739,95.7,0.231,152.1,1.055,0.0,19.156,19.95,21.678,19.489,0.0,57.2,64.1,71.7,12.85,-48.62,-3.2,-45.42,0.0,322.27,367.69,,SSE,,12.06,101108.48,101108.9,
014HI,2024-01-15T12:15:00Z,101050.0,12.689,95.6,0.0,,0.0,0.0,19.133,19.939,21.75,19.478,0.0,57.0,64.1,71.8,12.89,-49.4,-3.42,-45.98,0.0,321.77,367.74,,,,12.0,101108.48,101108.91,
014HI,2024-01-15T12:20:00Z,101050.0,12.589,95.5,0.17,248.0,0.612,0.0,19.083,19.939,21.711,19.472,0.0,57.1,64.1,71.7,12.92,-49.51,-3.67,-45.84,0.0,321.24,367.08,,WSW,,11.88,101108.48,101108.93,
014HI,2024-01-15T12:25:00Z,101050.0,12.728,95.8,0.298,274.7,0.72,0.0,19.078,19.928,21.689,19.45,0.0,57.1,64.1,71.8,12.85,-49.03,-3.59,-45.44,0.05,321.66,367.1,,W,,12.07,101108.48,101108.9,
014HI,2024-01-15T12:30:00Z,101050.0,12.75,95.8,0.586,180.8,1.276,0.0,19.089,19.928,21.661,19.428,0.0,57.1,64.1,71.8,12.84,-48.57,-3.04,-45.53,0.0,322.79,368.32,,S,,12.09,101108.48,101108.9,
014HI,2024-01-15T12:35:00Z,101050.0,12.828,95.8,0.571,179.3,1.168,0.0,19.067,19.928,21.689,19.428,0.0,57.0,64.1,71.8,12.84,-49.01,-2.43,-46.58,0.0,323.33,369.92,,S,,12.17,101108.48,101108.88,
014HI,2024-01-15T12:40:00Z,101040.0,12.572,95.5,0.0,,0.0,0.0,19.044,19.939,21.689,19.422,0.0,57.0,64.1,71.8,12.88,-49.01,-3.74,-45.27,0.0,323.27,368.54,,,,11.86,101098.47,101098.93,
014HI,2024-01-15T12:45:00Z,101040.0,12.522,95.6,0.036,272.3,0.442,0.0,19.006,19.911,21.661,19.4,0.0,57.0,64.1,71.8,12.91,-49.53,-3.69,-45.85,0.0,321.69,367.53,,W,,11.83,101098.47,101098.94,
014HI,2024-01-15T12:50:00Z,101040.0,12.639,95.8,0.0,,0.0,0.0,19.006,19.911,21.678,19.389,0.0,57.1,64.1,71.7,12.82,-47.8,-3.63,-44.18,0.0,322.82,367.0,,,,11.98,101098.47,101098.91,
014HI,2024-01-15T12:55:00Z,101030.0,12.539,95.7,0.0,,0.0,0.0,19.022,19.878,21.711,19.389,0.0,57.1,64.1,71.8,12.87,-47.55,-3.53,-44.02,0.0,323.06,367.07,,,,11.86,101088.47,101088.93,
014HI,2024-01-15T13:00:00Z,101030.0,12.378,95.6,0.005,178.9,0.391,0.0,18.978,19.878,21.711,19.361,0.0,57.1,64.1,71.8,12.9,-47.96,-3.87,-44.09,0.0,322.15,366.24,,S,,11.69,101088.47,101088.96,
014HI,2024-01-15T13:05:00Z,101030.0,12.372,95.7,0.535,181.2,0.833,0.0,18.972,19.872,21.678,19.378,0.0,57.2,64.1,71.8,12.83,-45.7,-2.63,-43.06,0.0,323.12,366.18,,S,,11.7,101088.47,101088.96,
014HI,2024-01-15T13:10:00Z,101020.0,12.439,95.9,0.453,197.7,0.941,0.0,18.989,19.878,21.689,19.361,0.0,57.2,64.1,71.8,12.82,-46.52,-2.45,-44.07,0.0,323.03,367.1,,SSW,,11.8,101078.46,101078.94,
014HI,2024-01-15T13:15:00Z,101020.0,12.372,95.8,0.144,227.4,0.612,0.0,18.972,19.839,21.672,19.35,0.0,57.2,64.1,71.8,12.86,-46.79,-3.39,-43.41,0.0,322.88,366.29,,SW,,11.71,101078.46,101078.96,
014HI,2024-01-15T13:20:00Z,101020.0,12.261,95.7,0.108,231.3,0.442,0.0,18.928,19.861,21.711,19.328,0.0,57.1,64.1,71.8,12.89,-47.01,-3.21,-43.8,0.0,321.98,365.78,,SW,,11.59,101078.46,101078.98,
014HI,2024-01-15T13:25:00Z,101020.0,12.25,95.8,0.0,,0.0,0.0,18.922,19.861,21.711,19.311,0.0,57.2,64.1,71.8,12.82,-45.66,-3.59,-42.07,0.0,322.81,364.89,,,,11.59,101078.46,101078.98,
014HI,2024-01-15T13:30:00Z,101020.0,12.161,95.8,0.0,,0.0,0.0,18.95,19.839,21.672,19.3,0.0,57.2,64.1,71.8,12.85,-46.49,-3.62,-42.87,0.0,322.97,365.84,,,,11.5,101078.46,101079.0,
014HI,2024-01-15T13:35:00Z,101010.0,12.45,96.1,0.298,191.1,0.664,0.0,18.894,19.85,21.661,19.289,0.0,57.1,64.1,71.8,12.88,-46.86,-2.94,-43.92,0.0,322.12,366.03,,S,,11.84,101068.46,101068.93,
014HI,2024-01-15T13:40:00Z,101010.0,12.228,95.8,0.139,196.4,0.612,0.0,18.883,19.822,21.678,19.289,0.0,57.1,64.1,71.8,12.81,-46.24,-3.05,-43.19,0.0,321.73,364.92,,SSW,,11.57,101068.46,101068.98,
014HI,2024-01-15T13:45:00Z,101010.0,12.239,95.9,0.0,,0.0,0.0,18.906,19.811,21.722,19.289,0.0,57.1,64.1,71.8,12.84,-46.86,-3.42,-43.44,0.0,321.85,365.3,,,,11.6,101068.46,101068.98,
014HI,2024-01-15T13:50:00Z,101010.0,12.311,96.0,0.0,,0.0,0.0,18.856,19.822,21.678,19.272,0.0,57.1,64.1,71.8,12.88,-46.61,-2.57,-44.03,0.0,320.59,364.63,,,,11.68,101068.46,101068.96,
014HI,2024-01-15T13:55:00Z,101000.0,12.239,96.0,0.231,228.1,0.664,0.0,18.844,19.778,21.728,19.25,0.0,57.2,64.1,71.8,12.8,-45.73,-3.16,-42.56,0.0,321.27,363.83,,SW,,11.61,101058.45,101058.97,
