# STATION: 015HI
# STATION NAME: Common Ground
# LATITUDE: 22.19750
# LONGITUDE: -159.42100
# ELEVATION [ft]: 364.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
015HI,2024-01-15T10:05:00Z,,14.289,95.4,0.221,295.8,0.72,0.0,20.544,20.828,22.061,20.428,0.0,47.3,48.0,47.7,12.87,-55.78,-4.82,-50.96,0.0,326.98,377.94,,WNW,,13.56,,None,
015HI,2024-01-15T10:10:00Z,,14.139,95.6,0.484,284.1,0.833,0.0,20.556,20.828,22.05,20.378,0.0,47.3,48.0,47.7,12.91,-55.39,-4.62,-50.77,0.23,327.92,378.69,,WNW,,13.44,,None,
015HI,2024-01-15T10:15:00Z,,14.178,95.8,0.319,274.9,0.777,0.0,20.5,20.839,22.089,20.361,0.0,47.3,48.0,47.7,12.94,-56.45,-4.66,-51.8,0.21,324.05,375.85,,W,,13.51,,None,
015HI,2024-01-15T10:20:00Z,,14.128,96.0,0.571,281.7,0.998,0.0,,20.811,22.039,20.339,0.0,47.3,48.0,47.7,12.87,-57.36,-4.83,-52.53,0.0,324.5,377.03,,WNW,,13.49,,None,
015HI,2024-01-15T10:25:00Z,,14.111,96.1,0.514,289.6,0.777,0.0,20.5,20.8,22.011,20.361,0.0,47.3,48.0,47.7,12.91,-57.91,-4.68,-53.23,0.33,326.73,379.96,,WNW,,13.49,,None,
015HI,2024-01-15T10:30:00Z,,14.139,96.2,0.304,295.7,0.72,0.0,,20.761,22.072,20.3,0.0,47.3,48.0,47.7,12.94,-58.96,-4.94,-54.03,0.0,322.27,376.3,,WNW,,13.54,,None,
015HI,2024-01-15T10:35:00Z,,14.161,96.2,0.36,282.3,0.833,0.0,20.428,20.789,22.078,20.311,0.0,47.3,48.0,47.7,12.87,-57.82,-4.73,-53.09,0.44,325.18,378.27,,WNW,,13.56,,None,
015HI,2024-01-15T10:40:00Z,,13.928,95.9,0.273,299.0,0.72,0.0,20.444,20.772,22.039,20.311,0.0,47.3,48.0,47.7,12.89,-57.12,-4.84,-52.28,0.0,325.19,377.48,,WNW,,13.28,,None,
015HI,2024-01-15T10:45:00Z,,13.85,96.1,0.237,284.1,0.664,0.0,20.394,20.75,22.039,20.289,0.0,47.3,48.0,47.7,12.94,-57.81,-4.8,-53.01,0.0,322.04,375.05,,WNW,,13.23,,None,
015HI,2024-01-15T10:50:00Z,,13.872,96.5,0.123,286.7,0.664,0.0,20.383,20.739,22.039,20.311,0.0,47.3,48.0,47.7,12.86,-55.92,-4.6,-51.32,0.44,324.27,375.58,,WNW,,13.32,,None,
015HI,2024-01-15T10:55:00Z,99890.0,13.989,96.6,0.34,312.9,0.941,0.0,20.4,20.778,22.05,20.289,0.0,47.3,48.0,47.7,12.86,-58.25,-4.66,-53.59,0.64,324.58,378.17,,NW,,13.45,101215.05,101215.53,
015HI,2024-01-15T11:00:00Z,99880.0,13.822,96.4,0.046,286.1,0.612,0.0,20.378,20.7,22.078,20.278,0.0,47.3,48.0,47.7,12.9,-56.92,-4.97,-51.96,0.0,324.52,376.48,,WNW,,13.25,101204.92,101206.17,
015HI,2024-01-15T11:05:00Z,99880.0,13.9,96.7,0.165,337.0,0.664,0.0,20.322,20.7,22.05,20.222,0.0,47.3,48.0,47.7,12.93,-56.72,-4.85,-51.87,0.53,322.72,374.59,,NNW,,13.38,101204.92,101205.81,
015HI,2024-01-15T11:10:00Z,99880.0,13.678,96.3,0.159,286.4,0.664,0.0,20.317,20.7,22.011,20.189,0.0,47.3,48.0,47.7,12.86,-54.3,-4.67,-49.63,0.0,323.94,373.57,,WNW,,13.09,101204.92,101206.84,
015HI,2024-01-15T11:15:00Z,99880.0,13.811,97.0,0.17,273.3,0.833,0.0,20.339,20.672,22.022,20.189,0.0,47.3,48.0,47.7,12.9,-54.59,-4.68,-49.91,0.39,324.59,374.5,,W,,13.34,101204.92,101206.22,
015HI,2024-01-15T11:20:00Z,99880.0,13.822,96.9,0.412,262.2,0.833,0.0,20.283,20.678,22.089,20.2,0.0,47.3,48.0,47.7,12.92,-55.28,-4.25,-51.03,0.17,321.93,372.96,,W,,13.33,101204.92,101206.17,
