# STATION: 016HI
# STATION NAME: Keokea
# LATITUDE: 20.7067
# LONGITUDE: -156.3554
# ELEVATION [ft]: 2858.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
016HI,2024-01-15T10:05:00Z,91410.0,11.1,85.6,1.08,115.1,1.446,0.0,17.006,17.011,18.1,16.811,0.0,35.0,43.4,44.1,12.91,-64.11,-4.29,-59.82,1.17,296.04,355.86,,ESE,,8.75,101465.88,101393.88,
016HI,2024-01-15T10:10:00Z,91410.0,11.0,86.1,1.41,127.9,1.667,0.0,17.028,17.022,18.111,16.778,0.0,35.0,43.3,44.1,12.88,-63.16,-3.96,-59.21,0.7,297.33,356.53,,SE,,8.74,101465.88,101397.54,
016HI,2024-01-15T10:15:00Z,91400.0,10.889,87.9,1.389,130.8,1.667,0.0,17.011,17.011,18.111,16.761,0.0,35.0,43.3,44.0,12.94,-65.34,-4.11,-61.23,0.43,296.07,357.3,,SE,,8.94,101454.78,101390.51,
016HI,2024-01-15T10:20:00Z,91390.0,10.672,89.0,1.538,136.7,1.775,0.0,16.961,17.022,18.111,16.739,0.0,35.0,43.4,44.0,12.91,-65.87,-4.2,-61.67,0.35,294.91,356.58,,SE,,8.91,101443.68,101387.37,
016HI,2024-01-15T10:25:00Z,91380.0,10.539,89.9,1.6,136.0,1.831,0.0,16.989,17.011,18.122,16.728,0.0,35.0,43.3,44.0,12.87,-64.79,-4.1,-60.69,0.43,296.21,356.9,,SE,,8.93,101432.58,101381.17,
016HI,2024-01-15T10:30:00Z,91380.0,10.478,90.3,1.579,136.0,1.831,0.0,16.972,17.028,18.072,16.711,0.0,35.0,43.3,44.0,12.9,-66.15,-4.12,-62.03,0.45,295.49,357.52,,SE,,8.94,101432.58,101383.41,
016HI,2024-01-15T10:35:00Z,91370.0,10.5,90.3,1.626,136.0,1.831,0.0,16.961,17.011,18.072,16.7,0.0,35.0,43.4,44.0,12.87,-65.34,-4.19,-61.14,0.63,296.21,357.36,,SE,,8.96,101421.48,101371.5,
016HI,2024-01-15T10:40:00Z,91380.0,10.611,88.3,1.564,129.4,,0.0,16.944,17.011,18.128,16.678,0.0,35.0,43.3,44.0,12.93,-66.91,-3.91,-62.99,0.28,295.04,358.03,,SE,,8.74,101432.58,101378.53,
016HI,2024-01-15T10:45:00Z,91380.0,10.472,88.3,1.487,133.5,1.667,0.0,16.894,17.022,18.128,16.672,0.0,35.0,43.4,44.0,12.9,-65.44,-3.88,-61.56,0.04,294.61,356.17,,SE,,8.6,101432.58,101383.64,
