# STATION: 017HI
# STATION NAME: Piiholo
# LATITUDE: 20.8415
# LONGITUDE: -156.2948
# ELEVATION [ft]: 2090.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
017HI,2024-01-15T10:05:00Z,93890.0,13.139,95.3,1.466,146.1,1.888,0.0,,18.75,19.072,18.628,0.0,45.7,48.6,45.1,12.98,-54.57,-4.13,-50.44,0.33,323.32,373.77,,SE,,12.4,101315.74,101249.69,
017HI,2024-01-15T10:10:00Z,93890.0,12.961,95.3,1.554,156.9,,0.0,,18.778,19.022,18.611,0.0,45.7,48.6,45.1,12.98,-47.74,-3.63,-44.11,0.28,329.81,373.92,,SSE,,12.22,101315.74,101254.42,
017HI,2024-01-15T10:15:00Z,93890.0,12.9,95.7,1.831,160.6,2.387,0.0,,18.75,19.061,18.589,0.0,45.7,48.6,45.1,12.98,-18.65,-1.81,-16.85,0.24,359.75,376.6,,SSE,,12.22,101315.74,101256.03,
017HI,2024-01-15T10:20:00Z,93880.0,13.039,96.2,1.276,152.6,1.667,0.0,,18.739,19.039,18.572,0.0,45.7,48.6,45.1,12.98,-30.65,-1.22,-29.43,0.68,348.9,378.33,,SSE,,12.44,101304.95,101241.55,
017HI,2024-01-15T10:25:00Z,93870.0,13.05,96.0,1.374,144.2,1.945,0.0,,18.739,19.061,18.561,0.0,45.7,48.6,45.1,12.97,-59.47,-3.53,-55.93,0.53,318.92,374.85,,SE,,12.42,101294.16,101230.48,
017HI,2024-01-15T10:30:00Z,93880.0,13.011,95.8,1.569,156.8,,0.0,,18.728,19.05,18.572,0.0,45.7,48.6,45.1,12.98,-61.48,-3.81,-57.67,0.44,315.95,373.62,,SSE,,12.35,101304.95,101242.3,
017HI,2024-01-15T10:35:00Z,93870.0,12.889,95.7,1.41,144.5,1.888,0.0,,18.739,19.061,18.55,0.0,45.7,48.6,45.1,12.97,-63.9,-4.03,-59.87,0.41,312.65,372.52,,SE,,12.21,101294.16,101234.76,
017HI,2024-01-15T10:40:00Z,93870.0,12.678,95.5,1.317,143.9,1.831,0.0,,18.722,19.05,18.539,0.0,45.7,48.6,45.1,12.97,-65.06,-4.36,-60.7,0.34,310.11,370.82,,SE,,11.97,101294.16,101240.37,
017HI,2024-01-15T10:45:00Z,93880.0,12.511,95.6,1.657,152.1,,0.0,,18.722,19.061,18.511,0.0,45.7,48.6,45.1,12.97,-63.64,-4.1,-59.54,0.3,310.96,370.5,,SSE,,11.82,101304.95,101255.6,
