# STATION: 018HI
# STATION NAME: Kaiholena
# LATITUDE: 19.1689
# LONGITUDE: -155.5704
# ELEVATION [ft]: 2070.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
018HI,2024-01-15T10:05:00Z,93920.0,15.85,93.5,2.48,308.7,3.277,,18.811,19.011,18.939,18.939,0.0,55.3,14.6,4.6,12.83,,,5.29,0.89,401.41,396.12,,NW,,14.79,101273.78,101138.9,
018HI,2024-01-15T10:10:00Z,93920.0,15.828,93.5,2.516,303.8,3.334,,18.833,19.022,18.928,18.911,0.0,55.3,14.6,4.6,12.87,,,7.88,1.15,404.04,396.17,,NW,,14.77,101273.78,101139.47,
018HI,2024-01-15T10:15:00Z,93920.0,15.678,93.5,2.315,305.1,3.056,,18.789,19.039,18.939,18.878,0.0,55.3,14.6,4.6,12.9,,,7.0,0.49,397.97,390.96,,NW,,14.62,101273.78,101143.34,
018HI,2024-01-15T10:20:00Z,93920.0,15.428,94.1,2.562,307.7,3.442,,18.778,19.011,18.95,18.889,0.0,55.2,14.6,4.6,12.83,,,5.76,0.62,397.94,392.18,,NW,,14.47,101273.78,101149.79,
018HI,2024-01-15T10:25:00Z,93920.0,15.311,94.4,2.402,308.8,3.498,,18.8,19.011,18.95,18.878,0.0,55.2,14.6,4.6,12.87,,,7.02,0.86,399.79,392.77,,NW,,14.41,101273.78,101152.82,
018HI,2024-01-15T10:30:00Z,93910.0,15.228,94.3,2.253,308.9,2.943,,18.744,19.022,18.928,18.878,0.0,55.2,14.6,4.6,12.9,,,5.55,0.63,393.92,388.37,,NW,,14.31,101263.0,101144.2,
018HI,2024-01-15T10:35:00Z,93910.0,15.061,95.0,2.963,311.8,3.941,,18.722,19.0,18.911,18.872,0.0,55.2,14.6,4.6,12.83,,,4.31,0.79,394.8,390.48,,NW,,14.26,101263.0,101148.52,
018HI,2024-01-15T10:40:00Z,93910.0,14.972,95.0,2.855,310.4,3.719,,18.728,19.011,18.939,18.861,0.0,55.2,14.6,4.6,12.82,,,5.06,0.89,396.35,391.3,,NW,,14.17,101263.0,101150.82,
018HI,2024-01-15T10:45:00Z,93910.0,14.861,95.1,2.572,311.7,3.334,,18.694,19.022,18.95,18.861,0.0,55.1,14.6,4.6,12.86,,,5.67,0.67,396.55,390.88,,NW,,14.08,101263.0,101153.7,
018HI,2024-01-15T10:50:00Z,93920.0,14.711,94.9,3.082,312.0,3.833,,18.633,19.0,18.922,18.822,0.0,55.1,14.6,4.6,12.9,,,2.03,0.7,389.21,387.18,,NW,,13.89,101273.78,101168.37,
018HI,2024-01-15T10:55:00Z,93920.0,14.628,95.2,2.737,309.6,3.39,,18.606,19.022,18.9,18.811,0.0,55.1,14.6,4.6,12.83,,,1.62,0.81,390.2,388.58,,NW,,13.86,101273.78,101170.53,
018HI,2024-01-15T11:00:00Z,93910.0,14.661,95.5,2.793,311.0,3.555,,18.611,18.989,18.961,18.8,0.0,55.1,14.6,4.6,12.81,,,3.21,0.98,392.96,389.75,,NW,,13.94,101263.0,101158.89,
018HI,2024-01-15T11:05:00Z,93900.0,14.611,95.7,2.711,310.3,3.334,,18.578,18.978,18.95,18.789,0.0,55.0,14.6,4.6,12.82,,,3.95,0.71,393.63,389.68,,NW,,13.93,101252.22,101149.42,
018HI,2024-01-15T11:10:00Z,93900.0,14.561,95.8,2.619,310.2,3.277,,18.55,19.011,18.939,18.761,0.0,55.0,14.6,4.6,12.82,,,4.22,0.68,393.74,389.52,,NW,,13.89,101252.22,101150.72,
018HI,2024-01-15T11:15:00Z,93890.0,14.4,95.9,2.716,310.0,3.442,,18.528,18.978,18.95,18.739,0.0,55.0,14.6,4.6,12.86,,,4.09,0.44,393.04,388.95,,NW,,13.75,101241.43,101144.14,
018HI,2024-01-15T11:20:00Z,93880.0,14.278,95.9,2.613,310.9,3.719,,18.472,18.978,18.961,18.75,0.0,55.1,14.6,4.6,12.9,,,1.67,0.45,386.32,384.66,,NW,,13.63,101230.65,101136.54,
018HI,2024-01-15T11:25:00Z,93880.0,14.272,96.2,2.963,311.5,3.776,,18.45,18.989,18.961,18.711,0.0,55.2,14.6,4.6,12.82,,,0.7,0.95,387.62,386.92,,NW,,13.67,101230.65,101136.7,
018HI,2024-01-15T11:30:00Z,93880.0,14.228,96.1,2.788,311.5,3.39,,18.461,18.978,18.939,18.689,0.0,55.1,14.6,4.6,12.82,,,2.48,0.7,390.25,387.76,,NW,,13.61,101230.65,101137.84,
018HI,2024-01-15T11:35:00Z,93870.0,14.228,96.4,2.763,308.3,3.555,,18.439,18.972,18.922,18.672,0.0,55.1,14.6,4.6,12.82,,,2.96,0.9,390.79,387.83,,NW,,13.66,101219.87,101127.07,
018HI,2024-01-15T11:40:00Z,93870.0,14.011,95.7,2.86,311.7,3.498,,18.411,18.972,18.972,18.661,0.0,55.0,14.6,4.6,12.86,,,3.35,0.42,390.67,387.32,,NW,,13.33,101219.87,101132.73,
018HI,2024-01-15T11:45:00Z,93860.0,13.922,95.7,2.665,314.3,3.663,,18.361,18.972,18.95,18.628,0.0,55.0,14.6,4.6,12.89,,,0.89,0.71,383.89,383.0,,NW,,13.24,101209.09,101124.28,
018HI,2024-01-15T11:50:00Z,93860.0,13.939,95.2,2.989,311.1,3.833,,18.344,18.972,18.978,18.611,0.0,55.0,14.6,4.6,12.82,,,1.19,0.98,385.96,384.77,,NW,,13.18,101209.09,101123.84,
018HI,2024-01-15T11:55:00Z,93850.0,14.111,95.9,2.886,308.3,3.941,,18.35,18.972,18.95,18.622,0.0,55.0,14.6,4.6,12.82,,,2.82,1.18,390.1,387.28,,NW,,13.46,101198.3,101108.57,
