# STATION: 019HI
# STATION NAME: Kahikinui
# LATITUDE: 20.6339
# LONGITUDE: -156.2739
# ELEVATION [ft]: 2339.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
019HI,2024-01-15T10:00:00Z,,,,,,3.277,,,,,,,,,,,,,,,,,,,,,,None,
019HI,2024-01-15T10:05:00Z,93080.0,13.172,88.9,2.691,336.2,3.334,0.0,17.872,18.528,18.611,18.528,0.0,11.8,21.7,34.0,12.93,-72.04,-3.35,-68.69,0.44,305.03,373.72,,NNW,,11.36,101364.18,101274.49,
019HI,2024-01-15T10:10:00Z,93080.0,13.489,89.8,1.867,349.3,2.557,0.0,17.85,18.539,18.611,18.511,0.0,11.8,21.7,34.0,12.87,-72.38,-3.29,-69.09,1.54,305.53,374.61,,N,,11.83,101364.18,101265.1,
019HI,2024-01-15T10:15:00Z,93080.0,13.672,89.0,1.878,345.9,2.608,0.0,17.861,18.539,18.6,18.478,0.0,11.8,21.7,34.0,12.86,-71.79,-3.62,-68.17,1.16,307.63,375.81,,NNW,,11.87,101364.18,101259.69,
019HI,2024-01-15T10:20:00Z,93070.0,13.628,88.5,2.114,338.7,2.886,0.0,17.833,18.522,18.611,18.489,0.0,11.8,21.7,34.0,12.92,-73.62,-3.73,-69.88,0.75,306.01,375.89,,NNW,,11.74,101353.29,101250.12,
019HI,2024-01-15T10:25:00Z,93070.0,13.511,88.5,2.001,341.0,2.665,0.0,17.778,18.528,18.6,18.428,0.0,11.8,21.7,34.0,12.92,-72.81,-3.68,-69.13,0.73,305.31,374.43,,NNW,,11.63,101353.29,101253.58,
019HI,2024-01-15T10:30:00Z,93060.0,13.8,89.4,1.698,348.7,2.557,0.0,17.761,18.522,18.622,18.45,0.0,11.8,21.7,34.0,12.88,-73.46,-3.71,-69.74,1.34,305.49,375.23,,NNW,,12.07,101342.4,101234.15,
019HI,2024-01-15T10:35:00Z,93070.0,13.672,89.5,2.094,338.2,2.829,0.0,17.772,18.539,18.6,18.422,0.0,11.8,21.7,34.0,12.85,-72.0,-3.8,-68.2,0.81,307.92,376.11,,NNW,,11.96,101353.29,101248.81,
019HI,2024-01-15T10:40:00Z,93070.0,13.389,90.0,2.382,337.5,3.056,0.0,17.75,18.5,18.639,18.411,0.0,11.8,21.7,34.0,12.91,-73.11,-3.64,-69.46,0.33,306.34,375.81,,NNW,,11.77,101353.29,101257.17,
019HI,2024-01-15T10:45:00Z,93070.0,13.328,90.5,2.572,334.7,3.056,0.0,17.7,18.5,18.622,18.428,0.0,11.8,21.7,34.0,12.87,-73.71,-3.65,-70.06,0.4,304.74,374.8,,NNW,,11.79,101353.29,101258.98,
019HI,2024-01-15T10:50:00Z,93060.0,13.178,90.8,2.778,332.2,3.39,0.0,17.717,18.511,18.628,18.372,0.0,11.8,21.7,34.0,12.85,-72.58,-3.52,-69.07,0.21,306.39,375.46,,NNW,,11.69,101342.4,101252.54,
019HI,2024-01-15T10:55:00Z,93060.0,12.772,89.5,2.927,328.7,3.498,0.0,17.7,18.522,18.639,18.361,0.0,11.8,21.7,34.0,12.91,-72.02,-3.22,-68.8,0.0,304.65,373.46,,NNW,,11.07,101342.4,101264.6,
019HI,2024-01-15T11:00:00Z,93060.0,12.761,87.9,2.202,333.8,,0.0,17.667,18.522,18.628,18.378,0.0,11.8,21.7,34.0,12.84,-70.02,-2.73,-67.29,0.68,303.87,371.15,,NNW,,10.79,101342.4,101264.94,
019HI,2024-01-15T11:05:00Z,93060.0,13.011,87.3,1.975,341.7,2.829,0.0,17.656,18.511,18.639,18.328,0.0,11.8,21.7,34.0,12.91,-70.52,-3.27,-67.25,1.06,304.1,371.35,,NNW,,10.93,101342.4,101257.51,
019HI,2024-01-15T11:10:00Z,93060.0,12.922,88.1,2.233,336.1,2.721,0.0,17.65,18.45,18.65,18.3,0.0,11.8,21.7,34.0,12.91,-70.3,-3.21,-67.08,0.65,304.41,371.5,,NNW,,10.98,101342.4,101260.15,
019HI,2024-01-15T11:15:00Z,93060.0,12.772,88.1,2.51,334.1,3.164,0.0,17.633,18.489,18.622,18.3,0.0,11.8,21.7,34.0,12.91,-69.71,-3.03,-66.68,0.53,304.46,371.14,,NNW,,10.83,101342.4,101264.61,
019HI,2024-01-15T11:20:00Z,93060.0,12.689,88.9,2.15,339.4,2.665,0.0,17.617,18.478,18.628,18.278,0.0,11.8,21.7,34.0,12.9,-69.13,-3.14,-65.99,0.65,305.19,371.18,,NNW,,10.89,101342.4,101267.07,
019HI,2024-01-15T11:25:00Z,93050.0,12.861,90.1,2.392,335.5,2.778,0.0,17.594,18.478,18.639,18.261,0.0,11.8,21.7,34.0,12.9,-70.07,-3.16,-66.91,0.86,305.03,371.94,,NNW,,11.26,101331.51,101251.07,
019HI,2024-01-15T11:30:00Z,93050.0,12.778,90.6,2.819,332.8,3.277,0.0,17.567,18.489,18.65,18.239,0.0,11.8,21.7,34.0,12.86,-70.34,-3.2,-67.14,0.25,304.96,372.1,,NNW,,11.26,101331.51,101253.53,
019HI,2024-01-15T11:35:00Z,93040.0,12.828,91.6,2.85,332.3,3.22,0.0,17.567,18.472,18.65,18.228,0.0,11.8,21.7,34.0,12.76,-70.26,-3.35,-66.91,0.28,307.07,373.98,,NNW,,11.48,101320.62,101241.16,
019HI,2024-01-15T11:40:00Z,93040.0,12.672,91.4,2.459,332.9,2.943,0.0,17.533,18.472,18.661,18.2,0.0,11.8,21.7,34.0,12.89,-70.04,-3.16,-66.88,0.11,306.35,373.23,,NNW,,11.29,101320.62,101245.79,
019HI,2024-01-15T11:45:00Z,93040.0,12.789,91.9,2.243,339.6,2.829,0.0,17.478,18.461,18.65,18.228,0.0,11.8,21.7,34.0,12.85,-69.67,-3.23,-66.44,0.99,306.13,372.57,,NNW,,11.49,101320.62,101242.31,
019HI,2024-01-15T11:50:00Z,93050.0,13.039,92.5,2.377,340.6,3.112,0.0,17.489,18.45,18.639,18.172,0.0,11.8,21.7,34.0,12.77,-69.21,-3.47,-65.74,1.14,309.0,374.74,,NNW,,11.84,101331.51,101245.77,
019HI,2024-01-15T11:55:00Z,93040.0,12.939,92.6,2.912,333.3,3.334,0.0,17.494,18.45,18.628,18.172,0.0,11.8,21.7,34.0,12.82,-69.28,-3.29,-65.99,0.19,310.53,376.52,,NNW,,11.76,101320.62,101237.85,
019HI,2024-01-15T12:00:00Z,93030.0,12.978,93.2,2.696,333.9,3.056,0.0,17.433,18.45,18.628,18.128,0.0,11.8,21.7,34.0,12.82,-67.57,-3.05,-64.53,0.28,311.56,376.09,,NNW,,11.89,101309.73,101225.81,
019HI,2024-01-15T12:05:00Z,93030.0,13.039,93.0,2.66,334.6,3.056,0.0,17.411,18.439,18.65,18.1,0.0,11.8,21.7,34.0,12.82,-61.51,-2.73,-58.78,0.39,317.66,376.44,,NNW,,11.92,101309.73,101224.0,
019HI,2024-01-15T12:10:00Z,93020.0,13.128,92.9,2.408,338.4,2.829,0.0,17.394,18.439,18.661,18.1,0.0,11.8,21.7,34.0,12.83,-68.77,-3.11,-65.66,0.65,310.41,376.07,,NNW,,11.99,101298.84,101210.48,
019HI,2024-01-15T12:15:00Z,93020.0,13.039,92.5,2.294,338.9,2.886,0.0,17.378,18.428,18.65,18.1,0.0,11.8,21.7,34.0,12.82,-68.9,-3.54,-65.36,0.38,310.06,375.41,,NNW,,11.84,101298.84,101213.12,
019HI,2024-01-15T12:20:00Z,93020.0,12.961,92.5,2.521,336.2,3.164,0.0,17.367,18.428,18.661,18.072,0.0,11.8,21.7,34.0,12.83,-68.56,-3.41,-65.14,0.31,309.86,375.0,,NNW,,11.76,101298.84,101215.44,
019HI,2024-01-15T12:25:00Z,93020.0,13.122,93.0,2.279,338.4,2.829,0.0,17.356,18.428,18.65,18.05,0.0,11.8,21.7,34.0,12.81,-66.1,-3.19,-62.91,0.97,312.78,375.69,,NNW,,12.0,101298.84,101210.66,
019HI,2024-01-15T12:30:00Z,93020.0,13.172,92.5,2.433,336.8,3.112,0.0,17.333,18.4,18.661,18.028,0.0,11.8,21.7,34.0,12.82,-71.1,-3.48,-67.63,0.62,307.83,375.46,,NNW,,11.97,101298.84,101209.18,
