# STATION: 021HI
# STATION NAME: Kulaimano
# LATITUDE: 19.8343
# LONGITUDE: -155.1224
# ELEVATION [ft]: 853.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
021HI,2024-01-15T10:05:00Z,98250.0,17.672,93.3,1.199,253.9,1.945,0.0,22.0,22.128,22.461,22.011,0.0,51.8,61.4,65.5,12.91,-38.3,-2.46,-35.84,0.0,366.36,402.21,,WSW,,16.57,101336.69,101287.75,
021HI,2024-01-15T10:10:00Z,98250.0,17.661,93.2,1.224,258.6,1.831,0.0,21.994,22.128,22.439,22.022,0.0,51.8,61.4,65.5,12.84,-36.64,-2.61,-34.03,0.0,366.48,400.51,,WSW,,16.54,101336.69,101287.86,
021HI,2024-01-15T10:15:00Z,98250.0,17.672,93.4,1.276,259.9,,0.0,22.022,22.128,22.461,21.989,0.0,51.8,61.4,65.5,12.87,-21.43,-1.79,-19.64,0.0,,402.94,,W,,16.58,101336.69,101287.75,
021HI,2024-01-15T10:20:00Z,98250.0,17.711,93.5,1.127,265.1,1.667,0.0,21.972,22.15,22.45,22.028,0.0,51.8,61.4,65.5,12.91,-17.11,-1.28,-15.84,0.0,388.73,404.57,,W,,16.64,101336.69,101287.33,
021HI,2024-01-15T10:25:00Z,98250.0,17.728,93.5,1.276,260.5,1.888,0.0,21.956,22.128,22.428,22.0,0.0,51.8,61.4,65.5,12.87,-18.36,-1.28,-17.07,0.0,387.27,404.35,,W,,16.66,101336.69,101287.15,
021HI,2024-01-15T10:30:00Z,98250.0,17.761,93.6,1.291,263.0,1.888,0.0,21.944,22.128,22.45,21.989,0.0,51.8,61.4,65.5,12.9,-20.18,-1.3,-18.88,0.0,386.1,404.98,,W,,16.71,101336.69,101286.8,
021HI,2024-01-15T10:35:00Z,98250.0,17.772,93.4,1.214,252.8,1.775,0.0,21.933,22.128,22.439,21.972,0.0,51.8,61.4,65.5,12.83,-36.12,-2.11,-34.01,0.0,368.74,402.76,,WSW,,16.68,101336.69,101286.69,
021HI,2024-01-15T10:40:00Z,98250.0,17.722,93.3,1.157,259.2,1.667,0.0,21.956,22.122,22.461,21.928,0.0,51.8,61.4,65.5,12.87,-48.44,-3.11,-45.34,0.0,355.24,400.58,,W,,16.62,101336.69,101287.22,
021HI,2024-01-15T10:45:00Z,98240.0,17.639,93.5,1.23,257.1,1.831,0.0,21.911,22.128,22.45,21.961,0.0,51.8,61.4,65.5,12.9,-46.1,-3.25,-42.85,0.0,355.85,398.7,,WSW,,16.57,101326.37,101277.79,
021HI,2024-01-15T10:50:00Z,98240.0,17.561,93.6,1.271,255.8,1.888,0.0,21.9,22.111,22.472,21.928,0.0,51.8,61.4,65.5,12.83,-44.27,-2.97,-41.3,0.0,357.01,398.31,,WSW,,16.51,101326.37,101278.61,
021HI,2024-01-15T10:55:00Z,98230.0,17.461,93.6,1.224,259.6,1.667,0.0,21.928,22.1,22.45,21.928,0.0,51.8,61.4,65.5,12.85,-47.21,-3.15,-44.06,0.0,354.05,398.12,,W,,16.41,101316.06,101269.36,
021HI,2024-01-15T11:00:00Z,98230.0,17.339,93.3,1.353,257.6,2.053,0.0,21.878,22.061,22.461,21.928,0.0,51.8,61.4,65.5,12.89,-49.05,-3.26,-45.8,0.0,351.88,397.68,,WSW,,16.24,101316.06,101270.66,
021HI,2024-01-15T11:05:00Z,98220.0,17.289,92.6,1.512,256.3,2.222,0.0,21.872,22.111,22.461,21.911,0.0,51.8,61.4,65.5,12.86,-49.72,-3.2,-46.52,0.0,350.6,397.12,,WSW,,16.07,101305.75,101260.88,
021HI,2024-01-15T11:10:00Z,98210.0,17.3,90.8,1.641,255.3,2.444,0.0,21.861,22.1,22.45,21.922,0.0,51.8,61.4,65.5,12.93,-55.03,-3.41,-51.62,0.0,344.75,396.38,,WSW,,15.77,101295.43,101250.46,
021HI,2024-01-15T11:15:00Z,98200.0,17.25,89.9,1.394,257.0,2.33,0.0,21.817,22.1,22.461,21.922,0.0,51.8,61.4,65.5,12.9,-58.15,-3.73,-54.42,0.01,339.26,393.68,,WSW,,15.56,101285.12,101240.69,
021HI,2024-01-15T11:20:00Z,98190.0,17.122,89.4,1.415,256.0,2.109,0.0,21.839,22.078,22.439,21.911,0.0,51.8,61.4,65.5,12.86,-55.93,-3.73,-52.19,0.0,340.0,392.19,,WSW,,15.35,101274.8,101231.74,
021HI,2024-01-15T11:25:00Z,98190.0,16.989,89.0,1.44,256.0,2.222,0.0,21.828,22.1,22.461,21.872,0.0,51.8,61.4,65.5,12.93,-59.49,-3.91,-55.57,0.0,336.28,391.85,,WSW,,15.15,101274.8,101233.15,
021HI,2024-01-15T11:30:00Z,98180.0,16.911,88.5,1.327,249.8,2.222,0.0,21.778,22.1,22.45,21.889,0.0,51.8,61.4,65.5,12.9,-60.84,-3.93,-56.9,0.13,333.87,390.77,,WSW,,14.98,101264.49,101223.68,
021HI,2024-01-15T11:35:00Z,98170.0,17.0,87.5,1.116,254.2,1.888,0.0,21.794,22.089,22.428,21.861,0.0,51.8,61.4,65.5,12.86,-61.5,-4.13,-57.37,0.64,333.03,390.4,,WSW,,14.89,101254.17,101212.42,
021HI,2024-01-15T11:40:00Z,98160.0,16.961,87.5,1.194,252.1,2.387,0.0,21.778,22.072,22.428,21.911,0.0,51.8,61.4,65.5,12.92,-61.7,-4.15,-57.55,0.39,332.53,390.07,,WSW,,14.85,101243.86,101202.53,
021HI,2024-01-15T11:45:00Z,98160.0,16.939,87.4,0.844,241.5,1.497,0.0,21.728,22.028,22.461,21.861,0.0,51.8,61.4,65.5,12.9,-62.06,-4.27,-57.79,0.48,331.61,389.4,,WSW,,14.81,101243.86,101202.76,
021HI,2024-01-15T11:50:00Z,98160.0,16.911,87.5,1.451,254.6,2.279,0.0,21.744,22.078,22.45,21.861,0.0,51.8,61.4,65.5,12.85,-60.98,-4.06,-56.93,0.67,331.79,388.71,,WSW,,14.81,101243.86,101203.06,
021HI,2024-01-15T11:55:00Z,98160.0,16.9,87.4,1.101,249.6,2.222,0.0,21.722,22.072,22.461,21.889,0.0,51.8,61.4,65.5,12.93,-61.82,-4.0,-57.82,0.64,331.63,389.45,,WSW,,14.78,101243.86,101203.18,
021HI,2024-01-15T12:00:00Z,98150.0,16.878,87.6,0.967,253.2,1.723,0.0,21.672,22.05,22.439,21.828,0.0,51.8,61.4,65.5,12.89,-60.25,-4.1,-56.15,0.55,331.18,387.33,,WSW,,14.79,101233.55,101193.1,
021HI,2024-01-15T12:05:00Z,98150.0,16.85,88.0,0.962,257.6,1.888,0.0,21.689,22.061,22.45,21.828,0.0,51.8,61.4,65.5,12.85,-59.16,-4.17,-54.99,0.59,332.01,387.0,,WSW,,14.83,101233.55,101193.4,
021HI,2024-01-15T12:10:00Z,98150.0,16.822,88.2,1.173,250.1,,0.0,21.672,22.072,22.45,21.828,0.0,51.8,61.4,65.5,12.92,-60.7,-3.91,-56.79,0.62,332.26,389.06,,WSW,,14.84,101233.55,101193.69,
021HI,2024-01-15T12:15:00Z,98140.0,16.85,87.6,1.332,251.7,2.279,0.0,21.617,22.072,22.461,21.822,0.0,51.8,61.4,65.5,12.89,-61.93,-4.07,-57.86,0.68,331.02,388.88,,WSW,,14.76,101223.23,101183.09,
021HI,2024-01-15T12:20:00Z,98140.0,16.828,87.1,1.266,246.2,2.608,0.0,21.633,22.072,22.461,21.822,0.0,51.8,61.4,65.5,12.85,-61.64,-3.99,-57.65,0.71,331.91,389.56,,WSW,,14.65,101223.23,101183.32,
021HI,2024-01-15T12:25:00Z,98130.0,16.922,86.7,1.147,243.1,2.557,0.0,21.611,22.05,22.45,21.811,0.0,51.8,61.4,65.5,12.92,-61.89,-4.07,-57.82,0.74,332.9,390.72,,WSW,,14.67,101212.92,101172.01,
