# STATION: 023HI
# STATION NAME: Hamoa
# LATITUDE: 20.7195
# LONGITUDE: -156.0024
# ELEVATION [ft]: 347.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
023HI,2024-01-15T10:05:00Z,,16.628,92.4,0.37,247.7,0.777,,,,0.0,,,,12.95,,WSW,,15.38,,None,
023HI,2024-01-15T10:10:00Z,,16.622,92.7,0.401,245.9,1.332,,,,0.0,,,,12.95,,WSW,,15.42,,None,
023HI,2024-01-15T10:15:00Z,,16.589,92.7,0.514,256.3,0.941,,,,0.0,,,,12.95,,WSW,,15.39,,None,
023HI,2024-01-15T10:20:00Z,,16.578,92.8,0.607,252.1,0.941,,,,0.0,,,,12.94,,WSW,,15.4,,None,
023HI,2024-01-15T10:25:00Z,,16.578,92.8,0.427,254.2,0.777,,,,0.0,,,,12.94,,WSW,,15.4,,None,
023HI,2024-01-15T10:30:00Z,,16.539,93.1,0.489,254.1,0.833,,,,0.0,,,,12.93,,WSW,,15.41,,None,
023HI,2024-01-15T10:35:00Z,,16.55,93.3,0.463,253.1,0.664,,,,0.0,,,,12.94,,WSW,,15.45,,None,
023HI,2024-01-15T10:40:00Z,,16.528,93.4,0.463,258.8,0.833,,,,0.0,,,,12.94,,W,,15.45,,None,
023HI,2024-01-15T10:45:00Z,,16.489,93.7,0.54,259.4,0.777,,,,0.0,,,,12.94,,W,,15.46,,None,
023HI,2024-01-15T10:50:00Z,,16.5,93.8,0.581,254.9,0.941,,,,0.0,,,,12.93,,WSW,,15.49,,None,
023HI,2024-01-15T10:55:00Z,,16.489,93.7,0.586,258.0,0.941,,,,0.0,,,,12.93,,WSW,,15.46,,None,
023HI,2024-01-15T11:00:00Z,,16.511,93.8,0.633,254.5,0.941,,,,0.0,,,,12.93,,WSW,,15.5,,None,
023HI,2024-01-15T11:05:00Z,,16.522,94.0,0.658,253.2,0.941,,,,0.0,,,,12.93,,WSW,,15.54,,None,
023HI,2024-01-15T11:10:00Z,,16.589,94.3,0.689,248.9,1.111,,,,0.0,,,,12.93,,WSW,,15.66,,None,
023HI,2024-01-15T11:15:00Z,,16.622,94.4,0.689,251.0,0.941,,,,0.0,,,,12.93,,WSW,,15.71,,None,
023HI,2024-01-15T11:20:00Z,,16.6,94.4,0.715,257.7,1.168,,,,0.0,,,,12.92,,WSW,,15.69,,None,
023HI,2024-01-15T11:25:00Z,99890.0,16.611,94.5,0.653,249.8,1.224,,,,0.0,,,,12.92,,WSW,,15.72,101152.7,101141.8,
023HI,2024-01-15T11:30:00Z,99890.0,16.65,94.6,0.576,245.7,0.941,,,,0.0,,,,12.92,,WSW,,15.77,101152.7,101141.63,
023HI,2024-01-15T11:35:00Z,99890.0,16.661,94.8,0.381,245.7,0.833,,,,0.0,,,,12.92,,WSW,,15.82,101152.7,101141.58,
023HI,2024-01-15T11:40:00Z,99890.0,16.672,94.7,0.381,239.8,1.055,,,,0.0,,,,12.92,,WSW,,15.81,101152.7,101141.53,
023HI,2024-01-15T11:45:00Z,99880.0,16.65,94.3,0.37,246.2,1.055,,,,0.0,,,,12.91,,WSW,,15.72,101142.57,101131.51,
023HI,2024-01-15T11:50:00Z,99870.0,16.622,94.1,0.484,240.9,1.224,,,,0.0,,,,12.92,,WSW,,15.66,101132.45,101121.5,
023HI,2024-01-15T11:55:00Z,99870.0,16.539,93.5,0.473,240.0,0.998,,,,0.0,,,,12.92,,WSW,,15.48,101132.45,101121.86,
023HI,2024-01-15T12:00:00Z,99870.0,16.55,93.4,0.437,244.3,1.276,,,,0.0,,,,12.91,,WSW,,15.47,101132.45,101121.82,
023HI,2024-01-15T12:05:00Z,99870.0,16.511,93.4,0.237,253.1,0.777,,,,0.0,,,,12.91,,WSW,,15.43,101132.45,101121.99,
023HI,2024-01-15T12:10:00Z,99870.0,16.489,93.6,0.216,252.1,0.89,,,,0.0,,,,12.91,,WSW,,15.44,101132.45,101122.08,
023HI,2024-01-15T12:15:00Z,99870.0,16.478,93.2,0.334,259.2,0.833,,,,0.0,,,,12.9,,W,,15.37,101132.45,101122.13,
023HI,2024-01-15T12:20:00Z,99860.0,16.528,92.8,0.154,244.2,0.499,,,,0.0,,,,12.9,,WSW,,15.35,101122.32,101111.79,
