# STATION: 025HI
# STATION NAME: Kehena Ditch Cabin
# LATITUDE: 20.1228
# LONGITUDE: -155.7493
# ELEVATION [ft]: 3799.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
025HI,2024-01-15T10:05:00Z,88470.0,9.711,100.0,0.988,174.2,,0.0,14.461,14.889,15.75,15.039,0.0,72.0,58.5,57.3,13.04,-47.43,-3.16,-44.28,1.86,,350.78,,S,,9.71,101682.28,101562.02,
025HI,2024-01-15T10:10:00Z,88460.0,8.961,98.0,1.703,188.8,2.387,0.0,14.45,14.878,15.761,15.061,0.0,72.0,58.5,57.3,13.04,-61.39,-4.88,-56.51,0.0,294.8,351.31,,S,,8.66,101670.78,101587.38,
025HI,2024-01-15T10:15:00Z,88450.0,8.561,96.8,1.266,187.6,2.721,0.0,14.45,14.889,15.75,15.039,0.0,72.0,58.5,57.3,13.04,-66.71,-6.59,-60.11,0.76,288.98,349.09,,S,,8.08,101659.29,101595.63,
025HI,2024-01-15T10:20:00Z,88450.0,8.522,95.2,1.579,174.3,2.387,0.0,14.456,14.861,15.761,15.05,0.0,72.0,58.5,57.3,13.04,-66.75,-7.46,-59.29,1.88,290.01,349.3,,S,,7.79,101659.29,101597.57,
025HI,2024-01-15T10:25:00Z,88440.0,8.85,91.0,1.795,181.7,2.721,0.0,14.45,14.872,15.75,15.05,0.0,72.0,58.5,57.3,13.04,-67.58,-8.99,-58.59,2.61,290.98,349.57,,S,,7.44,101647.79,101569.94,
025HI,2024-01-15T10:30:00Z,88440.0,9.361,87.7,1.883,171.3,2.721,0.0,14.433,14.889,15.739,15.028,0.0,72.0,58.5,57.3,13.04,-69.08,-10.02,-59.06,3.09,291.23,350.28,,S,,7.4,101647.79,101544.85,
025HI,2024-01-15T10:35:00Z,88430.0,9.578,87.4,1.847,161.4,3.164,0.0,14.417,14.9,15.761,15.022,0.0,72.0,58.5,57.3,13.04,-70.38,-9.93,-60.45,2.89,290.64,351.09,,SSE,,7.56,101636.3,101522.73,
025HI,2024-01-15T10:40:00Z,88430.0,9.928,86.2,1.276,158.5,2.665,0.0,14.394,14.861,15.739,15.022,0.0,72.0,58.5,57.3,13.03,-70.39,-9.79,,3.05,290.36,350.95,,SSE,,7.7,101636.3,101505.62,
025HI,2024-01-15T10:45:00Z,88430.0,10.828,86.4,0.653,197.3,1.775,0.0,14.372,14.889,15.722,15.0,0.0,72.0,58.5,57.3,13.03,-66.18,-7.72,-58.45,3.99,291.69,350.15,,SSW,,8.62,101636.3,101461.79,
