# STATION: 026HI
# STATION NAME: Kaala
# LATITUDE: 21.5069
# LONGITUDE: -158.1451
# ELEVATION [ft]: 3950.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
026HI,2024-01-15T10:05:00Z,87820.0,13.172,61.57,0.334,274.5,0.941,0.0,,,,,0.0,71.3,,13.04,-85.37,-6.7,-78.67,3.5,276.94,355.61,,W,,5.89,101502.97,101189.79,
026HI,2024-01-15T10:10:00Z,87820.0,13.05,62.49,0.278,273.0,1.111,0.0,,,,,0.0,71.3,,13.05,-85.3,-7.09,-78.22,3.38,276.92,355.14,,W,,5.99,101502.97,101195.81,
026HI,2024-01-15T10:15:00Z,87820.0,13.078,62.42,0.499,242.5,0.941,0.0,,,,,0.0,71.3,,13.05,-84.13,-6.33,-77.8,2.73,277.15,354.95,,WSW,,6.0,101502.97,101194.43,
026HI,2024-01-15T10:20:00Z,87820.0,13.15,61.19,0.597,238.7,1.276,0.0,,,,,0.0,71.3,,13.05,-84.09,-6.04,-78.05,2.64,277.36,355.41,,WSW,,5.78,101502.97,101190.88,
026HI,2024-01-15T10:25:00Z,87810.0,13.178,61.47,0.818,230.1,1.831,0.0,,,,,0.0,71.3,,13.05,-85.42,-6.27,-79.15,2.67,277.19,356.34,,SW,,5.87,101491.41,101177.97,
026HI,2024-01-15T10:30:00Z,87810.0,13.272,61.71,0.731,235.6,1.497,0.0,,,,,0.0,71.3,,13.05,-86.13,-6.38,-79.75,2.67,277.39,357.14,,SW,,6.01,101491.41,101173.32,
026HI,2024-01-15T10:35:00Z,87810.0,13.311,61.59,0.612,244.1,1.224,0.0,,,,,0.0,71.3,,13.05,-85.72,-6.57,-79.15,2.44,277.36,356.51,,WSW,,6.02,101491.41,101171.39,
026HI,2024-01-15T10:40:00Z,87810.0,13.172,61.72,0.473,266.3,1.111,0.0,,,,,0.0,71.3,,13.05,-85.15,-6.74,-78.4,2.1,277.02,355.43,,W,,5.92,101491.41,101178.26,
026HI,2024-01-15T10:45:00Z,87810.0,13.05,62.62,0.535,265.3,1.389,0.0,,,,,0.0,71.3,,13.04,-83.91,-6.59,-77.32,2.14,277.3,354.62,,W,,6.02,101491.41,101184.29,
026HI,2024-01-15T10:50:00Z,87800.0,13.1,62.14,0.736,240.0,1.667,0.0,,,,,0.0,71.3,,13.04,-85.74,-6.51,-79.23,2.77,277.51,356.73,,WSW,,5.95,101479.85,101170.3,
