# STATION: 027HI
# STATION NAME: Lalamilo
# LATITUDE: 20.0195
# LONGITUDE: -155.6771
# ELEVATION [ft]: 2631.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,soil_temp_set_5,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,soil_moisture_set_4,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
027HI,2024-01-15T10:05:00Z,92220.0,12.139,98.9,0.057,50.68,0.664,0.0,17.361,18.1,19.672,,17.539,0.0,30.1,41.0,39.5,,12.96,-67.03,-4.63,-62.41,0.0,301.07,363.48,,NE,,11.97,101512.21,101426.1,
027HI,2024-01-15T10:10:00Z,92220.0,11.978,98.8,0.684,90.1,1.055,0.0,17.333,18.078,19.672,,17.528,0.0,30.1,41.0,39.5,,12.89,-65.15,-4.45,-60.7,0.0,301.69,362.39,,E,,11.79,101512.21,101431.51,
027HI,2024-01-15T10:15:00Z,92220.0,12.022,99.3,0.633,103.0,0.89,0.0,17.339,18.078,19.678,,17.528,0.0,30.1,41.0,39.5,,12.88,-65.19,-4.31,-60.87,0.08,302.2,363.08,,ESE,,11.91,101512.21,101430.03,
027HI,2024-01-15T10:20:00Z,92230.0,11.878,99.2,0.731,45.69,0.998,0.0,17.3,18.061,19.661,,17.5,0.0,30.1,41.0,39.5,,12.88,-65.72,-4.08,-61.64,0.0,302.26,363.91,,NE,,11.75,101523.21,101445.87,
027HI,2024-01-15T10:25:00Z,92220.0,11.85,99.3,0.165,46.3,0.664,0.0,17.267,18.05,19.678,,17.472,0.0,30.1,41.0,39.5,,12.88,-67.7,-4.57,-63.13,0.0,301.45,364.58,,NE,,11.74,101512.21,101435.81,
027HI,2024-01-15T10:30:00Z,92220.0,11.961,99.6,0.576,103.1,0.998,0.0,17.233,18.028,19.672,,17.461,0.0,30.1,41.0,39.5,,12.87,-67.14,-4.49,-62.65,0.0,301.52,364.18,,ESE,,11.9,101512.21,101432.08,
027HI,2024-01-15T10:35:00Z,92210.0,11.95,99.5,0.37,93.5,0.89,0.0,17.211,18.061,19.672,,17.439,0.0,30.1,41.0,39.5,,12.87,-66.1,-4.47,-61.62,0.0,301.35,362.97,,E,,11.87,101501.2,101421.45,
027HI,2024-01-15T10:40:00Z,92190.0,12.05,99.7,0.905,81.7,1.224,0.0,17.183,18.028,19.65,,17.4,0.0,30.1,41.0,39.5,,12.87,-66.38,-4.14,-62.24,0.0,301.86,364.1,,E,,12.0,101479.18,101396.09,
027HI,2024-01-15T10:45:00Z,92190.0,11.978,99.5,0.844,90.2,1.224,0.0,17.156,18.028,19.678,,17.378,0.0,30.1,41.0,39.5,,12.87,-67.18,-4.21,-62.97,0.0,301.2,364.17,,E,,11.9,101479.18,101398.51,
