# STATION: 029HI
# STATION NAME: Keahuolu
# LATITUDE: 19.6687
# LONGITUDE: -155.9575
# ELEVATION [ft]: 1761.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
029HI,2024-01-15T10:05:00Z,95080.0,15.639,94.9,0.864,46.38,1.667,0.0,19.789,20.461,20.839,19.55,0.0,18.6,21.0,20.3,12.92,-58.1,-3.87,-54.23,0.0,341.11,395.35,,NE,,14.82,101370.38,101273.85,
029HI,2024-01-15T10:10:00Z,95080.0,15.511,95.5,0.756,50.25,1.332,0.0,19.767,20.439,20.822,19.478,0.0,18.6,21.0,20.3,12.86,-65.25,-4.32,-60.93,0.03,332.89,393.82,,NE,,14.79,101370.38,101276.67,
029HI,2024-01-15T10:15:00Z,95080.0,15.378,95.6,1.065,52.31,1.831,0.0,19.767,20.422,20.839,19.45,0.0,18.6,21.0,20.3,12.9,-57.31,-4.11,,0.0,341.22,394.42,,NE,,14.67,101370.38,101279.6,
029HI,2024-01-15T10:20:00Z,95080.0,15.45,94.9,1.188,58.63,1.888,0.0,19.711,20.4,20.839,19.428,0.0,18.6,21.0,20.3,12.92,-61.98,-3.86,-58.12,0.21,335.33,393.45,,ENE,,14.63,101370.38,101278.02,
029HI,2024-01-15T10:25:00Z,95080.0,15.128,96.5,1.157,53.17,1.888,0.0,19.683,20.361,20.839,19.372,0.0,18.6,20.9,20.3,12.86,-69.54,-4.51,-65.03,0.0,326.77,391.81,,NE,,14.57,101370.38,101285.12,
029HI,2024-01-15T10:30:00Z,95080.0,14.9,97.2,1.209,55.95,1.667,0.0,19.689,20.35,20.839,19.328,0.0,18.6,21.0,20.3,12.85,-69.51,-4.55,-64.96,0.0,326.92,391.88,,NE,,14.46,101370.38,101290.16,
029HI,2024-01-15T10:35:00Z,95080.0,14.789,97.2,1.245,56.11,1.831,0.0,19.65,20.339,20.822,19.339,0.0,18.6,20.9,20.3,12.85,-69.99,-4.55,-65.44,0.0,326.12,391.57,,NE,,14.34,101370.38,101292.62,
029HI,2024-01-15T10:40:00Z,95080.0,14.639,97.7,1.121,57.94,1.831,0.0,19.617,20.311,20.828,19.311,0.0,18.6,20.9,20.3,12.89,-71.11,-4.68,-66.43,0.0,324.56,390.98,,ENE,,14.28,101370.38,101295.95,
029HI,2024-01-15T10:45:00Z,95070.0,14.55,97.8,1.188,53.58,1.945,0.0,19.544,20.289,20.839,19.272,0.0,18.6,21.0,20.3,12.9,-71.79,-4.63,-67.16,0.0,322.48,389.63,,NE,,14.2,101359.72,101287.27,
029HI,2024-01-15T10:50:00Z,95070.0,14.528,97.3,1.127,43.79,2.166,0.0,19.511,20.272,20.828,19.239,0.0,18.6,21.0,20.3,12.85,-70.7,-4.75,-65.96,0.3,322.67,388.62,,NE,,14.1,101359.72,101287.76,
029HI,2024-01-15T10:55:00Z,95060.0,14.561,96.7,1.194,46.39,1.831,0.0,19.506,20.228,20.861,19.211,0.0,18.6,21.0,20.3,12.84,-70.51,-4.65,-65.86,0.45,323.38,389.24,,NE,,14.04,101349.06,101276.38,
029HI,2024-01-15T11:00:00Z,95060.0,14.45,97.3,1.168,49.63,1.723,0.0,19.456,20.211,20.85,19.161,0.0,18.6,20.9,20.3,12.84,-70.0,-4.53,-65.47,0.03,323.63,389.1,,NE,,14.02,101349.06,101278.84,
029HI,2024-01-15T11:05:00Z,95060.0,14.322,97.9,1.255,51.66,1.945,0.0,19.411,20.222,20.839,19.111,0.0,18.6,20.9,20.3,12.83,-69.9,-4.43,-65.47,0.0,323.47,388.94,,NE,,13.99,101349.06,101281.68,
029HI,2024-01-15T11:10:00Z,95050.0,14.35,97.2,1.25,49.57,2.222,0.0,19.372,20.178,20.839,19.078,0.0,18.6,20.9,20.3,12.88,-70.06,-4.48,-65.58,0.25,323.29,388.87,,NE,,13.91,101338.4,101270.41,
