# STATION: 031HI
# STATION NAME: Honolimaloo
# LATITUDE: 21.1314
# LONGITUDE: -156.7586
# ELEVATION [ft]: 1319.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
031HI,2024-01-15T10:05:00Z,96490.0,16.922,93.0,1.286,253.9,1.723,0.0,21.067,21.361,21.711,20.511,0.0,52.7,49.4,52.1,12.89,-67.78,-4.72,-63.06,0.61,327.66,390.73,,WSW,,15.77,101225.32,101146.66,
031HI,2024-01-15T10:10:00Z,96500.0,16.972,93.1,1.286,253.4,1.888,0.0,21.05,21.339,21.7,20.5,0.0,52.7,49.4,52.1,12.82,-67.81,-4.78,-63.03,0.6,327.54,390.57,,WSW,,15.84,101235.81,101156.32,
031HI,2024-01-15T10:15:00Z,96490.0,16.828,92.9,1.317,267.0,1.775,0.0,21.067,21.35,21.678,20.5,0.0,52.7,49.4,52.1,12.85,-69.48,-4.85,-64.63,0.65,327.36,391.99,,W,,15.66,101225.32,101148.2,
031HI,2024-01-15T10:20:00Z,96490.0,16.778,93.1,1.358,264.7,1.667,0.0,21.017,21.328,21.7,20.461,0.0,52.7,49.4,52.1,12.89,-70.77,-4.88,-65.89,0.81,325.56,391.45,,W,,15.65,101225.32,101149.02,
031HI,2024-01-15T10:25:00Z,96480.0,16.728,93.3,1.271,271.0,1.61,0.0,21.0,21.311,21.711,20.422,0.0,52.7,49.4,52.1,12.81,-70.27,-4.84,-65.42,0.91,325.59,391.02,,W,,15.63,101214.83,101139.36,
031HI,2024-01-15T10:30:00Z,96480.0,16.722,93.4,1.142,274.3,1.497,0.0,21.017,21.311,21.689,20.411,0.0,52.7,49.4,52.1,12.84,-70.31,-4.9,-65.42,0.9,326.02,391.44,,W,,15.64,101214.83,101139.45,
031HI,2024-01-15T10:35:00Z,96480.0,16.711,93.2,1.157,271.7,1.554,0.0,20.967,21.278,21.689,20.428,0.0,52.7,49.4,52.1,12.87,-71.21,-4.9,-66.31,0.92,324.7,391.02,,W,,15.6,101214.83,101139.63,
031HI,2024-01-15T10:40:00Z,96470.0,16.761,92.9,1.353,261.4,1.667,0.0,20.95,21.278,21.7,20.4,0.0,52.7,49.4,52.1,12.81,-69.26,-4.95,-64.32,1.56,325.07,389.39,,W,,15.6,101204.34,101128.33,
031HI,2024-01-15T10:45:00Z,96460.0,16.872,92.4,1.338,259.2,1.723,0.0,20.961,21.25,21.711,20.378,0.0,52.7,49.4,52.1,12.84,-69.09,-4.98,-64.12,1.34,325.19,389.31,,W,,15.62,101193.85,101116.03,
