# STATION: 033HI
# STATION NAME: Keaau
# LATITUDE: 19.6062
# LONGITUDE: -155.0515
# ELEVATION [ft]: 597.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
033HI,2024-01-15T10:05:00Z,99110.0,18.578,91.5,0.103,248.7,0.556,,,,,0.0,,,,13.03,,WSW,,17.16,101277.16,101240.04,
033HI,2024-01-15T10:10:00Z,99110.0,18.611,91.0,0.376,242.5,0.664,,,,,0.0,,,,13.03,,WSW,,17.1,101277.16,101239.79,
033HI,2024-01-15T10:15:00Z,99110.0,18.672,91.7,0.031,229.5,0.391,,,,,0.0,,,,13.03,,SW,,17.28,101277.16,101239.34,
033HI,2024-01-15T10:20:00Z,99110.0,18.639,91.3,0.201,252.6,0.612,,,,,0.0,,,,13.03,,WSW,,17.18,101277.16,101239.59,
033HI,2024-01-15T10:25:00Z,99100.0,18.689,91.1,0.087,252.2,0.612,,,,,0.0,,,,13.03,,WSW,,17.2,101266.94,101229.0,
033HI,2024-01-15T10:30:00Z,99100.0,18.672,91.0,0.015,253.2,0.278,,,,,0.0,,,,13.03,,WSW,,17.16,101266.94,101229.13,
033HI,2024-01-15T10:35:00Z,99100.0,18.661,90.9,0.0,,0.0,,,,,0.0,,,,13.02,,,,17.13,101266.94,101229.21,
033HI,2024-01-15T10:40:00Z,99100.0,18.672,91.5,0.0,,0.0,,,,,0.0,,,,13.02,,,,17.25,101266.94,101229.13,
033HI,2024-01-15T10:45:00Z,99100.0,18.661,91.2,0.149,249.8,0.664,,,,,0.0,,,,13.02,,WSW,,17.19,101266.94,101229.21,
033HI,2024-01-15T10:50:00Z,99100.0,18.672,91.2,0.154,241.1,0.664,,,,,0.0,,,,13.02,,WSW,,17.2,101266.94,101229.13,
033HI,2024-01-15T10:55:00Z,99090.0,18.689,90.9,0.165,262.5,1.276,,,,,0.0,,,,13.01,,W,,17.16,101256.72,101218.79,
033HI,2024-01-15T11:00:00Z,99080.0,18.7,90.5,0.165,250.9,0.612,,,,,0.0,,,,13.01,,WSW,,17.1,101246.5,101208.49,
033HI,2024-01-15T11:05:00Z,99070.0,18.772,91.0,0.072,196.2,0.612,,,,,0.0,,,,13.01,,SSW,,17.26,101236.28,101197.75,
033HI,2024-01-15T11:10:00Z,99070.0,18.778,91.0,0.211,203.2,1.111,,,,,0.0,,,,13.01,,SSW,,17.27,101236.28,101197.7,
033HI,2024-01-15T11:15:00Z,99060.0,18.811,91.1,0.067,240.8,0.499,,,,,0.0,,,,13.01,,WSW,,17.32,101226.06,101187.24,
033HI,2024-01-15T11:20:00Z,99060.0,18.789,91.4,0.345,223.0,1.168,,,,,0.0,,,,13.0,,SW,,17.35,101226.06,101187.41,
033HI,2024-01-15T11:25:00Z,99060.0,18.822,88.2,0.622,247.9,1.667,,,,,0.0,,,,13.0,,WSW,,16.81,101226.06,101187.17,
033HI,2024-01-15T11:30:00Z,99050.0,19.089,86.1,0.653,241.7,1.446,,,,,0.0,,,,13.0,,WSW,,16.69,101215.84,101175.0,
033HI,2024-01-15T11:35:00Z,99040.0,19.172,84.8,0.839,251.8,,,,,,0.0,,,,13.0,,WSW,,16.54,101205.62,101164.18,
033HI,2024-01-15T11:40:00Z,99030.0,19.139,84.8,0.463,229.4,1.276,,,,,0.0,,,,13.0,,SW,,16.5,101195.41,101154.2,
033HI,2024-01-15T11:45:00Z,99030.0,18.939,85.4,0.597,236.9,1.775,,,,,0.0,,,,13.0,,WSW,,16.42,101195.41,101155.67,
033HI,2024-01-15T11:50:00Z,99010.0,18.839,84.7,0.643,248.8,1.667,,,,,0.0,,,,12.99,,WSW,,16.19,101174.97,101135.98,
033HI,2024-01-15T11:55:00Z,99010.0,18.672,85.5,0.355,249.0,0.998,,,,,0.0,,,,12.99,,WSW,,16.17,101174.97,101137.21,
033HI,2024-01-15T12:00:00Z,99000.0,18.411,86.1,0.211,240.2,0.833,,,,,0.0,,,,12.99,,WSW,,16.03,101164.75,101128.92,
