# STATION: 034HI
# STATION NAME: Kaiaulu Puu Waawaa
# LATITUDE: 19.7724
# LONGITUDE: -155.8312
# ELEVATION [ft]: 3809.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
034HI,2024-01-15T10:05:00Z,88340.0,13.228,91.4,2.814,354.5,3.277,,,,,0.0,,,,12.98,,N,,11.84,101570.57,101279.0,
034HI,2024-01-15T10:10:00Z,88350.0,13.072,93.0,1.867,8.12,2.608,,,,,0.0,,,,12.98,,N,,11.95,101582.06,101297.9,
034HI,2024-01-15T10:15:00Z,88340.0,13.061,91.2,0.381,9.92,1.168,,,,,0.0,,,,12.98,,N,,11.64,101570.57,101286.98,
034HI,2024-01-15T10:20:00Z,88340.0,12.911,90.9,0.159,149.9,0.833,,,,,0.0,,,,12.97,,SSE,,11.45,101570.57,101294.17,
034HI,2024-01-15T10:25:00Z,88340.0,12.939,91.7,0.401,181.9,0.941,,,,,0.0,,,,12.97,,S,,11.61,101570.57,101292.82,
034HI,2024-01-15T10:30:00Z,88340.0,13.022,90.0,0.442,91.2,0.72,,,,,0.0,,,,12.97,,E,,11.4,101570.57,101288.86,
034HI,2024-01-15T10:35:00Z,88330.0,13.161,89.2,1.029,44.06,1.667,,,,,0.0,,,,12.96,,NE,,11.4,101559.07,101270.76,
034HI,2024-01-15T10:40:00Z,88330.0,13.028,91.5,1.389,55.96,1.723,,,,,0.0,,,,12.96,,NE,,11.66,101559.07,101277.09,
034HI,2024-01-15T10:45:00Z,88320.0,13.0,90.0,0.797,104.6,1.111,,,,,0.0,,,,12.95,,ESE,,11.38,101547.57,101266.98,
034HI,2024-01-15T10:50:00Z,88320.0,13.089,85.5,0.849,123.5,1.446,,,,,0.0,,,,12.96,,ESE,,10.69,101547.57,101262.78,
034HI,2024-01-15T10:55:00Z,88310.0,13.661,74.03,1.327,106.9,1.554,,,,,0.0,,,,12.96,,ESE,,9.08,101536.07,101224.16,
034HI,2024-01-15T11:00:00Z,88300.0,13.822,77.48,1.353,181.8,1.945,,,,,0.0,,,,12.96,,S,,9.92,101524.58,101205.0,
034HI,2024-01-15T11:05:00Z,88300.0,13.511,80.8,1.847,177.4,2.279,,,,,0.0,,,,12.96,,S,,10.25,101524.58,101219.76,
034HI,2024-01-15T11:10:00Z,88290.0,13.35,83.3,1.476,176.6,2.279,,,,,0.0,,,,12.95,,S,,10.55,101513.08,101215.94,
034HI,2024-01-15T11:15:00Z,88280.0,13.461,82.4,1.693,173.2,2.387,,,,,0.0,,,,12.95,,S,,10.49,101501.58,101199.2,
034HI,2024-01-15T11:20:00Z,88280.0,13.361,79.93,2.068,171.5,2.778,,,,,0.0,,,,12.95,,S,,9.94,101501.58,101204.0,
034HI,2024-01-15T11:25:00Z,88280.0,13.611,73.73,0.808,218.7,1.831,,,,,0.0,,,,12.94,,SW,,8.97,101501.58,101192.16,
034HI,2024-01-15T11:30:00Z,88280.0,14.461,69.24,1.955,292.2,2.778,,,,,0.0,,,,12.94,,WNW,,8.85,101501.58,101151.88,
034HI,2024-01-15T11:35:00Z,88280.0,13.95,74.35,2.732,310.1,3.277,,,,,0.0,,,,12.94,,NW,,9.42,101501.58,101176.03,
034HI,2024-01-15T11:40:00Z,88280.0,13.339,80.5,2.228,329.7,2.778,,,,,0.0,,,,12.93,,NNW,,10.02,101501.58,101205.04,
034HI,2024-01-15T11:45:00Z,88290.0,13.189,84.8,1.903,322.8,2.166,,,,,0.0,,,,12.93,,NW,,10.66,101513.08,101223.61,
034HI,2024-01-15T11:50:00Z,88290.0,13.261,85.8,2.022,323.1,2.222,,,,,0.0,,,,12.93,,NW,,10.91,101513.08,101220.16,
034HI,2024-01-15T11:55:00Z,88290.0,13.289,85.2,1.631,349.1,1.945,,,,,0.0,,,,12.92,,N,,10.83,101513.08,101218.83,
034HI,2024-01-15T12:00:00Z,88300.0,13.039,88.8,0.489,16.85,1.446,,,,,0.0,,,,12.92,,NNE,,11.22,101524.58,101242.2,
