# STATION: 035HI
# STATION NAME: Kona Hema
# LATITUDE: 19.2068
# LONGITUDE: -155.8110
# ELEVATION [ft]: 4209.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Millimeters,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
035HI,2024-01-15T10:05:00Z,87180.0,10.05,85.8,2.423,47.3,3.498,0.0,0.0,12.92,-73.62,-4.64,-68.99,0.81,285.9,354.89,,NE,,7.75,101738.82,101542.75,
035HI,2024-01-15T10:10:00Z,87180.0,9.889,86.7,2.397,48.28,3.663,0.0,0.0,12.87,-73.96,-4.67,-69.29,0.6,285.01,354.3,,NE,,7.75,101738.82,101551.43,
035HI,2024-01-15T10:15:00Z,87180.0,9.9,86.2,2.552,49.95,3.442,0.0,0.0,12.84,-73.15,-4.49,-68.66,0.72,288.85,357.51,,NE,,7.68,101738.82,101550.84,
035HI,2024-01-15T10:20:00Z,87170.0,9.978,85.4,2.593,47.1,3.498,0.0,0.0,12.9,-73.51,-4.38,-69.13,0.77,286.4,355.54,,NE,,7.61,101727.15,101534.99,
035HI,2024-01-15T10:25:00Z,87170.0,10.039,84.8,2.382,49.51,3.277,0.0,0.0,12.91,-73.62,-4.39,-69.23,0.8,284.98,354.22,,NE,,7.57,101727.15,101531.7,
035HI,2024-01-15T10:30:00Z,87170.0,9.922,85.0,2.032,47.59,2.721,0.0,0.0,12.92,-73.39,-4.48,-68.91,0.49,284.63,353.54,,NE,,7.49,101727.15,101538.01,
035HI,2024-01-15T10:35:00Z,87170.0,9.778,85.2,2.49,43.42,,0.0,0.0,12.92,-72.38,-4.27,-68.11,0.64,285.01,353.12,,NE,,7.38,101727.15,101545.79,
035HI,2024-01-15T10:40:00Z,87170.0,9.889,83.5,2.572,43.07,3.334,0.0,0.0,12.92,-72.61,-4.25,-68.36,0.82,284.54,352.9,,NE,,7.19,101727.15,101539.81,
035HI,2024-01-15T10:45:00Z,87180.0,9.672,84.9,2.392,46.4,3.112,0.0,0.0,12.92,-72.65,-4.43,-68.22,0.51,284.37,352.59,,NE,,7.23,101738.82,101563.18,
