# STATION: 036HI
# STATION NAME: Lahaina WTP
# LATITUDE: 20.8907
# LONGITUDE: -156.6549
# ELEVATION [ft]: 801.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
036HI,2024-01-15T10:05:00Z,98290.0,18.172,74.04,2.742,83.3,4.167,0.0,21.567,23.122,24.389,20.472,0.0,44.1,52.8,46.3,12.96,-70.01,-4.2,-65.8,0.61,333.95,399.75,,E,,13.44,101186.43,101136.68,
036HI,2024-01-15T10:10:00Z,98290.0,18.189,73.81,2.696,83.6,3.833,0.0,21.522,23.111,24.378,20.439,0.0,44.1,52.8,46.3,12.96,-70.28,-4.23,-66.05,0.67,333.7,399.75,,E,,13.41,101186.43,101136.51,
036HI,2024-01-15T10:15:00Z,98290.0,18.211,74.06,2.85,82.6,4.218,0.0,21.483,23.1,24.372,20.378,0.0,44.1,52.8,46.3,12.96,-70.38,-4.31,-66.07,0.7,333.74,399.81,,E,,13.48,101186.43,101136.29,
036HI,2024-01-15T10:20:00Z,98290.0,18.2,74.31,3.179,80.2,4.218,0.0,21.444,23.072,24.378,20.35,0.0,44.0,52.8,46.3,12.96,-70.36,-4.16,-66.21,0.64,333.68,399.88,,E,,13.52,101186.43,101136.4,
036HI,2024-01-15T10:25:00Z,98290.0,18.222,74.02,2.927,82.0,4.388,0.0,21.406,23.061,24.389,20.3,0.0,44.0,52.8,46.3,12.96,-70.05,-4.2,-65.85,0.64,333.92,399.77,,E,,13.48,101186.43,101136.18,
036HI,2024-01-15T10:30:00Z,98290.0,18.178,74.21,2.901,82.6,4.332,0.0,21.367,23.022,24.378,20.261,0.0,44.0,52.8,46.3,12.96,-69.78,-4.17,-65.61,0.51,333.93,399.54,,E,,13.48,101186.43,101136.62,
036HI,2024-01-15T10:35:00Z,98280.0,18.128,74.58,3.159,83.5,4.774,0.0,21.333,22.978,24.4,20.222,0.0,44.0,52.8,46.3,12.96,-69.99,-4.12,-65.87,0.5,333.57,399.44,,E,,13.51,101176.13,101126.82,
036HI,2024-01-15T10:40:00Z,98270.0,18.122,74.72,2.984,84.2,4.445,0.0,21.294,22.972,24.378,20.161,0.0,44.0,52.8,46.3,12.96,-70.18,-4.16,-66.02,0.55,333.41,399.44,,E,,13.53,101165.84,101116.59,
036HI,2024-01-15T10:45:00Z,98280.0,18.211,74.71,2.68,84.1,4.167,0.0,21.261,22.95,24.389,20.178,0.0,44.0,52.8,46.3,12.96,-70.32,-4.27,-66.05,0.74,333.52,399.57,,E,,13.62,101176.13,101126.0,
