# STATION: 037HI
# STATION NAME: Upper Waiolani
# LATITUDE: 21.34670
# LONGITUDE: -157.83640
# ELEVATION [ft]: 663.0
# STATE: HI
Station_ID,Date_Time,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1
,,Celsius,Millimeters,%,volts
037HI,2024-01-15T10:05:00Z,20.328,0.0,26.6,12.88
037HI,2024-01-15T10:10:00Z,20.311,0.0,26.6,12.88
037HI,2024-01-15T10:15:00Z,20.289,0.0,26.6,12.9
037HI,2024-01-15T10:20:00Z,20.261,0.0,26.5,12.91
037HI,2024-01-15T10:25:00Z,20.261,0.0,26.5,12.9
037HI,2024-01-15T10:30:00Z,20.222,0.0,26.6,12.89
037HI,2024-01-15T10:35:00Z,20.211,0.0,26.6,12.9
037HI,2024-01-15T10:40:00Z,20.178,0.0,26.6,12.9
037HI,2024-01-15T10:45:00Z,20.172,0.0,26.6,12.89
037HI,2024-01-15T10:50:00Z,20.161,0.0,26.6,12.89
037HI,2024-01-15T10:55:00Z,20.089,0.0,26.6,12.87
037HI,2024-01-15T11:00:00Z,20.122,0.0,26.6,12.89
037HI,2024-01-15T11:05:00Z,20.1,0.0,26.6,12.89
037HI,2024-01-15T11:10:00Z,20.072,0.0,26.6,12.86
037HI,2024-01-15T11:15:00Z,20.05,0.0,26.6,12.85
037HI,2024-01-15T11:20:00Z,20.05,0.0,26.6,12.89
037HI,2024-01-15T11:25:00Z,20.028,0.0,26.6,12.89
037HI,2024-01-15T11:30:00Z,20.011,0.0,26.6,12.87
037HI,2024-01-15T11:35:00Z,20.0,0.0,26.6,12.88
037HI,2024-01-15T11:40:00Z,19.978,0.0,26.6,12.88
037HI,2024-01-15T11:45:00Z,19.95,0.0,26.6,12.84
037HI,2024-01-15T11:50:00Z,19.95,0.0,26.6,12.87
037HI,2024-01-15T11:55:00Z,19.922,0.0,26.6,12.87
037HI,2024-01-15T12:00:00Z,19.911,0.0,26.5,12.87
037HI,2024-01-15T12:05:00Z,19.889,0.0,26.5,12.87
037HI,2024-01-15T12:10:00Z,19.872,0.0,26.5,12.85
037HI,2024-01-15T12:15:00Z,19.878,0.0,26.5,12.86
037HI,2024-01-15T12:20:00Z,19.85,0.0,26.5,12.86
037HI,2024-01-15T12:25:00Z,19.828,0.0,26.5,12.86
037HI,2024-01-15T12:30:00Z,19.822,0.0,26.5,12.86
037HI,2024-01-15T12:35:00Z,19.811,0.0,26.5,12.86
037HI,2024-01-15T12:40:00Z,19.772,0.0,26.5,12.83
037HI,2024-01-15T12:45:00Z,19.772,0.0,26.5,12.85
037HI,2024-01-15T12:50:00Z,19.772,0.0,26.5,12.85
037HI,2024-01-15T12:55:00Z,19.739,0.0,26.5,12.85
037HI,2024-01-15T13:00:00Z,19.728,0.0,26.5,12.84
037HI,2024-01-15T13:05:00Z,19.711,0.0,26.5,12.84
037HI,2024-01-15T13:10:00Z,19.7,0.0,26.5,12.85
037HI,2024-01-15T13:15:00Z,19.672,0.0,26.5,12.84
037HI,2024-01-15T13:20:00Z,19.661,0.0,26.5,12.84
037HI,2024-01-15T13:25:00Z,19.639,0.0,26.5,12.84
037HI,2024-01-15T13:30:00Z,19.622,0.0,26.5,12.83
037HI,2024-01-15T13:35:00Z,19.622,0.0,26.5,12.82
037HI,2024-01-15T13:40:00Z,19.611,0.0,26.5,12.83
037HI,2024-01-15T13:45:00Z,19.6,0.0,26.5,12.83
037HI,2024-01-15T13:50:00Z,19.578,0.0,26.5,12.83
037HI,2024-01-15T13:55:00Z,19.561,0.0,26.5,12.83
037HI,2024-01-15T14:00:00Z,19.528,0.0,26.5,12.82
037HI,2024-01-15T14:05:00Z,19.539,0.0,26.5,12.82
037HI,2024-01-15T14:10:00Z,19.528,0.0,26.5,12.82
037HI,2024-01-15T14:15:00Z,19.522,0.0,26.4,12.82
037HI,2024-01-15T14:20:00Z,19.478,0.0,26.4,12.82
037HI,2024-01-15T14:25:00Z,19.489,0.0,26.4,12.82
037HI,2024-01-15T14:30:00Z,19.461,0.0,26.4,12.81
037HI,2024-01-15T14:35:00Z,19.461,0.0,26.4,12.82
037HI,2024-01-15T14:40:00Z,19.472,0.0,26.4,12.81
037HI,2024-01-15T14:45:00Z,19.428,0.0,26.4,12.81
037HI,2024-01-15T14:50:00Z,19.428,0.0,26.4,12.81
037HI,2024-01-15T14:55:00Z,19.4,0.0,26.4,12.78
037HI,2024-01-15T15:00:00Z,19.389,0.0,26.4,12.8
037HI,2024-01-15T15:05:00Z,19.378,0.0,26.4,12.8
037HI,2024-01-15T15:10:00Z,19.372,0.0,26.4,12.81
037HI,2024-01-15T15:15:00Z,19.361,0.0,26.4,12.8
037HI,2024-01-15T15:20:00Z,19.35,0.0,26.4,12.8
037HI,2024-01-15T15:25:00Z,19.339,0.0,26.4,12.8
037HI,2024-01-15T15:30:00Z,19.328,0.0,26.4,12.8
037HI,2024-01-15T15:35:00Z,19.311,0.0,26.4,12.8
037HI,2024-01-15T15:40:00Z,19.289,0.0,26.4,12.78
037HI,2024-01-15T15:45:00Z,19.278,0.0,26.4,12.79
037HI,2024-01-15T15:50:00Z,19.25,0.0,26.4,12.8
037HI,2024-01-15T15:55:00Z,19.25,0.0,26.4,12.77
037HI,2024-01-15T16:00:00Z,19.228,0.0,26.3,12.79
037HI,2024-01-15T16:05:00Z,19.25,0.0,26.3,12.8
037HI,2024-01-15T16:10:00Z,19.222,0.0,26.3,12.79
037HI,2024-01-15T16:15:00Z,19.211,0.0,26.3,12.79
037HI,2024-01-15T16:20:00Z,19.189,0.0,26.3,12.79
037HI,2024-01-15T16:25:00Z,19.122,0.0,26.3,12.79
037HI,2024-01-15T16:30:00Z,19.172,0.0,26.3,12.78
037HI,2024-01-15T16:35:00Z,19.15,0.0,26.3,12.79
037HI,2024-01-15T16:40:00Z,19.15,0.0,26.3,12.79
037HI,2024-01-15T16:45:00Z,19.15,0.0,26.3,12.78
037HI,2024-01-15T16:50:00Z,19.128,0.0,26.3,12.78
037HI,2024-01-15T16:55:00Z,19.128,0.0,26.3,12.77
037HI,2024-01-15T17:00:00Z,19.111,0.0,26.3,12.75
037HI,2024-01-15T17:05:00Z,19.089,0.0,26.3,12.79
037HI,2024-01-15T17:10:00Z,19.111,0.0,26.3,12.79
037HI,2024-01-15T17:15:00Z,19.089,0.0,26.3,12.78
037HI,2024-01-15T17:20:00Z,19.061,0.0,26.3,12.76
037HI,2024-01-15T17:25:00Z,19.061,0.0,26.3,12.79
037HI,2024-01-15T17:30:00Z,19.061,0.0,26.3,12.79
037HI,2024-01-15T17:35:00Z,19.039,0.0,26.3,12.79
037HI,2024-01-15T17:40:00Z,19.072,0.0,26.3,12.77
037HI,2024-01-15T17:45:00Z,19.039,0.0,26.3,12.79
037HI,2024-01-15T17:50:00Z,19.061,0.0,26.3,12.8
037HI,2024-01-15T17:55:00Z,19.011,0.0,26.3,12.77
037HI,2024-01-15T18:00:00Z,19.028,0.0,26.3,12.8
037HI,2024-01-15T18:05:00Z,19.022,0.0,26.3,12.78
037HI,2024-01-15T18:10:00Z,19.028,0.0,26.3,12.82
037HI,2024-01-15T18:15:00Z,19.022,0.0,26.3,12.81
037HI,2024-01-15T18:20:00Z,19.0,0.0,26.3,12.8
037HI,2024-01-15T18:25:00Z,19.0,0.0,26.3,12.83
037HI,2024-01-15T18:30:00Z,18.978,0.0,26.3,12.82
037HI,2024-01-15T18:35:00Z,19.022,0.0,26.3,12.83
037HI,2024-01-15T18:40:00Z,19.0,0.0,26.3,12.84
037HI,2024-01-15T18:45:00Z,19.011,0.0,26.3,12.85
037HI,2024-01-15T18:50:00Z,19.0,0.0,26.3,12.86
037HI,2024-01-15T18:55:00Z,18.978,0.0,26.3,12.93
