# STATION: 038HI
# STATION NAME: Waiolani
# LATITUDE: 21.33760
# LONGITUDE: -157.84090
# ELEVATION [ft]: 322.0
# STATE: HI
Station_ID,Date_Time,soil_temp_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1
,,Celsius,Millimeters,%,volts
038HI,2024-01-15T10:05:00Z,22.339,0.0,43.0,13.04
038HI,2024-01-15T10:10:00Z,22.311,0.0,43.0,13.03
038HI,2024-01-15T10:15:00Z,22.289,0.0,43.0,13.04
038HI,2024-01-15T10:20:00Z,22.228,0.0,43.0,13.03
038HI,2024-01-15T10:25:00Z,22.211,0.0,43.0,13.03
038HI,2024-01-15T10:30:00Z,22.178,0.0,43.0,13.03
038HI,2024-01-15T10:35:00Z,22.178,0.0,43.0,13.03
038HI,2024-01-15T10:40:00Z,22.15,0.0,43.0,13.03
038HI,2024-01-15T10:45:00Z,22.122,0.0,43.0,13.02
038HI,2024-01-15T10:50:00Z,22.089,0.0,43.0,13.02
038HI,2024-01-15T10:55:00Z,22.072,0.0,43.0,13.02
038HI,2024-01-15T11:00:00Z,22.05,0.0,43.0,13.02
038HI,2024-01-15T11:05:00Z,22.039,0.0,43.0,13.02
038HI,2024-01-15T11:10:00Z,21.978,0.0,43.0,13.02
038HI,2024-01-15T11:15:00Z,21.972,0.0,43.0,13.02
038HI,2024-01-15T11:20:00Z,21.939,0.0,43.0,13.01
038HI,2024-01-15T11:25:00Z,21.922,0.0,43.0,13.01
038HI,2024-01-15T11:30:00Z,21.9,0.0,43.0,13.01
038HI,2024-01-15T11:35:00Z,21.878,0.0,43.0,13.01
038HI,2024-01-15T11:40:00Z,21.861,0.0,43.0,13.01
038HI,2024-01-15T11:45:00Z,21.828,0.0,43.0,13.0
038HI,2024-01-15T11:50:00Z,21.772,0.0,43.0,13.01
038HI,2024-01-15T11:55:00Z,21.778,0.0,43.0,13.0
038HI,2024-01-15T12:00:00Z,21.772,0.0,42.9,13.0
038HI,2024-01-15T12:05:00Z,21.722,0.0,42.9,13.0
038HI,2024-01-15T12:10:00Z,21.7,0.0,42.9,13.0
038HI,2024-01-15T12:15:00Z,21.678,0.0,42.9,13.0
038HI,2024-01-15T12:20:00Z,21.661,0.0,42.9,12.99
038HI,2024-01-15T12:25:00Z,21.622,0.0,42.9,12.99
038HI,2024-01-15T12:30:00Z,21.622,0.0,42.9,13.0
038HI,2024-01-15T12:35:00Z,21.6,0.0,42.9,12.99
038HI,2024-01-15T12:40:00Z,21.578,0.0,42.9,12.99
038HI,2024-01-15T12:45:00Z,21.561,0.0,42.9,12.99
038HI,2024-01-15T12:50:00Z,21.511,0.0,42.9,12.99
038HI,2024-01-15T12:55:00Z,21.522,0.0,42.9,12.98
038HI,2024-01-15T13:00:00Z,21.472,0.0,42.9,12.98
038HI,2024-01-15T13:05:00Z,21.45,0.0,42.9,12.98
038HI,2024-01-15T13:10:00Z,21.422,0.0,42.9,12.98
038HI,2024-01-15T13:15:00Z,21.4,0.0,42.9,12.97
038HI,2024-01-15T13:20:00Z,21.372,0.0,42.9,12.98
038HI,2024-01-15T13:25:00Z,21.372,0.0,42.9,12.97
038HI,2024-01-15T13:30:00Z,21.339,0.0,42.9,12.98
038HI,2024-01-15T13:35:00Z,21.3,0.0,42.8,12.97
038HI,2024-01-15T13:40:00Z,21.3,0.0,42.8,12.97
038HI,2024-01-15T13:45:00Z,21.261,0.0,42.8,12.96
038HI,2024-01-15T13:50:00Z,21.261,0.0,42.8,12.97
038HI,2024-01-15T13:55:00Z,21.228,0.0,42.8,12.96
038HI,2024-01-15T14:00:00Z,21.2,0.0,42.8,12.96
038HI,2024-01-15T14:05:00Z,21.178,0.0,42.8,12.96
038HI,2024-01-15T14:10:00Z,21.139,0.0,42.8,12.96
038HI,2024-01-15T14:15:00Z,21.15,0.0,42.8,12.95
038HI,2024-01-15T14:20:00Z,21.139,0.0,42.8,12.95
038HI,2024-01-15T14:25:00Z,21.122,0.0,42.8,12.95
038HI,2024-01-15T14:30:00Z,21.111,0.0,42.8,12.95
038HI,2024-01-15T14:35:00Z,21.089,0.0,42.8,12.95
038HI,2024-01-15T14:40:00Z,21.072,0.0,42.8,12.95
038HI,2024-01-15T14:45:00Z,21.061,0.0,42.8,12.94
038HI,2024-01-15T14:50:00Z,21.039,0.0,42.8,12.94
038HI,2024-01-15T14:55:00Z,21.05,0.0,42.8,12.94
038HI,2024-01-15T15:00:00Z,21.022,0.0,42.8,12.94
038HI,2024-01-15T15:05:00Z,21.0,0.0,42.8,12.93
038HI,2024-01-15T15:10:00Z,20.978,0.0,42.8,12.93
038HI,2024-01-15T15:15:00Z,20.939,0.0,42.8,12.93
038HI,2024-01-15T15:20:00Z,20.961,0.0,42.8,12.93
038HI,2024-01-15T15:25:00Z,20.939,0.0,42.8,12.93
038HI,2024-01-15T15:30:00Z,20.922,0.0,42.7,12.93
038HI,2024-01-15T15:35:00Z,20.922,0.0,42.7,12.92
038HI,2024-01-15T15:40:00Z,20.9,0.0,42.7,12.93
038HI,2024-01-15T15:45:00Z,20.878,0.0,42.7,12.92
038HI,2024-01-15T15:50:00Z,20.878,0.0,42.7,12.91
038HI,2024-01-15T15:55:00Z,20.85,0.0,42.7,12.91
038HI,2024-01-15T16:00:00Z,20.839,0.0,42.7,12.91
038HI,2024-01-15T16:05:00Z,20.828,0.0,42.7,12.91
038HI,2024-01-15T16:10:00Z,20.839,0.0,42.7,12.91
038HI,2024-01-15T16:15:00Z,20.8,0.0,42.7,12.91
038HI,2024-01-15T16:20:00Z,20.778,0.0,42.7,12.9
038HI,2024-01-15T16:25:00Z,20.778,0.0,42.7,12.91
038HI,2024-01-15T16:30:00Z,20.772,0.0,42.7,12.9
038HI,2024-01-15T16:35:00Z,20.75,0.0,42.7,12.9
038HI,2024-01-15T16:40:00Z,20.739,0.0,42.7,12.9
038HI,2024-01-15T16:45:00Z,20.728,0.0,42.7,12.9
038HI,2024-01-15T16:50:00Z,20.722,0.0,42.7,12.9
038HI,2024-01-15T16:55:00Z,20.689,0.0,42.7,12.9
038HI,2024-01-15T17:00:00Z,20.689,0.0,42.7,12.89
038HI,2024-01-15T17:05:00Z,20.678,0.0,42.7,12.89
038HI,2024-01-15T17:10:00Z,20.672,0.0,42.7,12.9
038HI,2024-01-15T17:15:00Z,20.65,0.0,42.7,12.9
038HI,2024-01-15T17:20:00Z,20.628,0.0,42.7,12.9
038HI,2024-01-15T17:25:00Z,20.639,0.0,42.7,12.91
038HI,2024-01-15T17:30:00Z,20.628,0.0,42.7,12.91
038HI,2024-01-15T17:35:00Z,20.578,0.0,42.7,12.92
038HI,2024-01-15T17:40:00Z,20.578,0.0,42.7,12.93
038HI,2024-01-15T17:45:00Z,20.611,0.0,42.7,12.93
038HI,2024-01-15T17:50:00Z,20.561,0.0,42.7,12.93
038HI,2024-01-15T17:55:00Z,20.55,0.0,42.6,12.95
038HI,2024-01-15T18:00:00Z,20.539,0.0,42.6,12.96
038HI,2024-01-15T18:05:00Z,20.561,0.0,42.7,12.97
038HI,2024-01-15T18:10:00Z,20.528,0.0,42.7,13.12
038HI,2024-01-15T18:15:00Z,20.572,0.0,42.6,13.37
038HI,2024-01-15T18:20:00Z,20.55,0.0,42.6,13.57
038HI,2024-01-15T18:25:00Z,20.572,0.0,42.6,13.71
