# STATION: 039HI
# STATION NAME: Lipoa
# LATITUDE: 20.74580
# LONGITUDE: -156.43060
# ELEVATION [ft]: 289.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,soil_temp_set_4,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Celsius,Celsius,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
039HI,2024-01-15T10:05:00Z,100170.0,18.878,76.47,2.583,96.5,3.334,0.0,21.911,21.689,24.1,25.672,0.0,40.0,37.4,11.4,13.05,-63.76,-3.93,-59.83,0.36,342.62,402.45,,E,,14.62,101223.27,101206.47,
039HI,2024-01-15T10:10:00Z,100180.0,18.778,76.94,2.449,94.4,3.112,0.0,21.872,21.639,24.089,25.672,0.0,40.0,37.4,11.4,13.05,-63.72,-4.01,-59.71,0.38,342.48,402.19,,E,,14.62,101233.38,101216.93,
039HI,2024-01-15T10:15:00Z,100170.0,18.739,77.15,2.552,92.1,3.39,0.0,21.839,21.622,24.05,25.672,0.0,40.0,37.4,11.4,13.05,-63.52,-3.99,-59.53,0.49,342.48,402.01,,E,,14.63,101223.27,101206.97,
039HI,2024-01-15T10:20:00Z,100170.0,18.789,76.7,2.624,89.6,3.442,0.0,21.8,21.55,24.022,25.639,0.0,40.0,37.4,11.4,13.05,-63.13,-3.94,-59.2,0.68,342.75,401.95,,E,,14.58,101223.27,101206.79,
039HI,2024-01-15T10:25:00Z,100160.0,18.839,76.31,2.485,89.5,3.277,0.0,21.761,21.522,24.0,25.661,0.0,40.0,37.4,11.4,13.05,-63.05,-3.92,-59.13,0.69,342.8,401.93,,E,,14.55,101213.17,101196.51,
039HI,2024-01-15T10:30:00Z,100160.0,18.85,75.91,2.459,89.0,,0.0,21.722,21.472,24.0,25.672,0.0,40.0,37.4,11.4,13.05,-63.23,-3.92,-59.31,0.56,342.43,401.74,,E,,14.48,101213.17,101196.47,
039HI,2024-01-15T10:35:00Z,100160.0,18.761,75.98,2.336,89.9,3.056,0.0,21.683,21.439,23.922,25.661,0.0,40.0,37.4,11.4,13.04,-63.16,-3.97,-59.19,0.48,342.27,401.47,,E,,14.41,101213.17,101196.78,
039HI,2024-01-15T10:40:00Z,100160.0,18.761,75.66,2.505,93.2,,0.0,21.65,21.378,23.928,25.678,0.0,40.0,37.4,11.4,13.04,-62.88,-3.93,-58.95,0.59,342.37,401.33,,E,,14.34,101213.17,101196.78,
039HI,2024-01-15T10:45:00Z,100160.0,18.75,75.75,2.474,92.3,3.164,0.0,21.611,21.35,23.878,25.672,0.0,40.0,37.4,11.4,13.04,-62.68,-3.93,-58.75,0.54,342.4,401.15,,E,,14.35,101213.17,101196.82,
