# STATION: 040HI
# STATION NAME: Piihonua
# LATITUDE: 19.70640
# LONGITUDE: -155.18740
# ELEVATION [ft]: 1988.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,W/m**2,Millimeters,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
040HI,2024-01-15T10:05:00Z,94330.0,15.328,83.1,0.813,248.7,1.497,0.0,0.0,13.1,,,-6.43,,386.34,392.76,,WSW,,12.45,101410.5,101297.93,
040HI,2024-01-15T10:10:00Z,94330.0,15.272,83.0,0.998,258.6,1.723,0.0,0.0,13.1,,,-5.68,,386.9,392.58,,WSW,,12.38,101410.5,101299.32,
040HI,2024-01-15T10:15:00Z,94330.0,15.239,83.2,1.276,273.9,2.33,0.0,0.0,13.1,,,-5.92,,386.33,392.24,,W,,12.38,101410.5,101300.14,
040HI,2024-01-15T10:20:00Z,94330.0,15.2,83.5,0.926,253.5,1.667,0.0,0.0,13.1,,,-5.49,,386.89,392.38,,WSW,,12.4,101410.5,101301.11,
040HI,2024-01-15T10:25:00Z,94330.0,15.161,83.2,1.008,253.5,1.554,0.0,0.0,13.1,,,-6.19,,385.95,392.14,,WSW,,12.31,101410.5,101302.09,
040HI,2024-01-15T10:30:00Z,94320.0,15.139,83.0,1.024,259.2,1.888,0.0,0.0,13.1,,,-7.58,,384.26,391.84,,W,,12.25,101399.75,101291.9,
040HI,2024-01-15T10:35:00Z,94320.0,15.1,83.4,0.941,254.4,1.667,0.0,0.0,13.1,,,-7.37,,384.25,391.61,,WSW,,12.28,101399.75,101292.87,
040HI,2024-01-15T10:40:00Z,94330.0,15.061,84.0,0.957,266.5,2.387,0.0,0.0,13.1,,,-5.86,,385.96,391.82,,W,,12.35,101410.5,101304.58,
040HI,2024-01-15T10:45:00Z,94330.0,15.111,84.6,1.363,271.1,3.611,0.0,0.0,13.1,,,-5.02,,386.78,391.8,,W,,12.51,101410.5,101303.32,
040HI,2024-01-15T10:50:00Z,94320.0,15.128,84.9,1.116,259.8,1.667,0.0,0.0,13.1,,,-5.15,,386.9,392.05,,W,,12.58,101399.75,101292.16,
040HI,2024-01-15T10:55:00Z,94320.0,15.161,85.3,1.008,257.4,1.667,0.0,0.0,13.1,,,-7.13,,384.87,392.0,,WSW,,12.69,101399.75,101291.33,
040HI,2024-01-15T11:00:00Z,94310.0,15.172,85.8,1.266,273.4,2.222,0.0,0.0,13.1,,,-11.03,,380.8,391.82,,W,,12.79,101389.0,101280.32,
040HI,2024-01-15T11:05:00Z,94300.0,15.172,85.8,1.317,265.6,2.222,0.0,0.0,13.1,,,-21.5,,369.32,390.82,,W,,12.79,101378.24,101269.58,
040HI,2024-01-15T11:10:00Z,94290.0,15.111,85.9,1.199,263.8,2.109,0.0,0.0,13.1,,,-29.67,,360.18,389.85,,W,,12.75,101367.49,101260.36,
040HI,2024-01-15T11:15:00Z,94290.0,15.0,86.0,1.23,259.8,2.557,0.0,0.0,13.08,,,-36.18,,352.37,388.55,,W,,12.66,101367.49,101263.13,
040HI,2024-01-15T11:20:00Z,94280.0,14.828,86.3,1.137,261.7,1.831,0.0,0.0,13.05,,,-49.63,,337.23,386.86,,W,,12.54,101356.74,101256.68,
040HI,2024-01-15T11:25:00Z,94280.0,14.622,86.5,1.163,252.6,2.33,0.0,0.0,13.01,,,-52.59,,333.73,386.31,,WSW,,12.37,101356.74,101261.82,
040HI,2024-01-15T11:30:00Z,94280.0,14.378,86.7,0.931,246.7,1.554,0.0,0.0,13.08,,,-53.4,,332.03,385.42,,WSW,,12.17,101356.74,101267.93,
040HI,2024-01-15T11:35:00Z,94270.0,14.178,87.2,1.286,253.6,2.387,0.0,0.0,13.04,,,-63.73,,319.44,383.16,,WSW,,12.06,101345.99,101262.19,
040HI,2024-01-15T11:40:00Z,94260.0,14.039,87.2,1.152,250.0,2.109,0.0,0.0,13.0,,,-59.45,,323.73,383.18,,WSW,,11.92,101335.24,101254.94,
040HI,2024-01-15T11:45:00Z,94250.0,13.85,86.1,1.255,251.7,2.109,0.0,0.0,13.08,,,-67.01,,314.67,381.67,,WSW,,11.54,101324.49,101248.95,
040HI,2024-01-15T11:50:00Z,94250.0,13.628,84.8,1.085,248.0,1.667,0.0,0.0,13.08,,,-67.25,,312.18,379.43,,WSW,,11.09,101324.49,101254.54,
040HI,2024-01-15T11:55:00Z,94250.0,13.4,84.1,1.183,250.0,1.831,0.0,0.0,13.08,,,-66.16,,311.88,378.05,,WSW,,10.74,101324.49,101260.29,
040HI,2024-01-15T12:00:00Z,94240.0,13.428,83.7,1.286,254.4,2.279,0.0,0.0,13.09,,,-66.19,,311.36,377.55,,WSW,,10.7,101313.74,101248.84,
040HI,2024-01-15T12:05:00Z,94230.0,13.272,84.9,1.389,252.4,2.387,0.0,0.0,13.04,,,-66.1,,310.88,376.98,,WSW,,10.76,101302.99,101242.03,
040HI,2024-01-15T12:10:00Z,94230.0,13.211,85.3,1.476,251.9,2.387,0.0,0.0,13.0,,,-64.81,,312.9,377.72,,WSW,,10.77,101302.99,101243.56,
040HI,2024-01-15T12:15:00Z,94220.0,13.189,86.2,1.219,250.1,,0.0,0.0,13.07,,,-65.75,,311.91,377.66,,WSW,,10.91,101292.24,101233.37,
040HI,2024-01-15T12:20:00Z,94220.0,13.2,86.4,1.245,256.2,,0.0,0.0,13.03,,,-65.92,,310.83,376.76,,WSW,,10.96,101292.24,101233.09,
040HI,2024-01-15T12:25:00Z,94220.0,13.239,86.5,1.307,255.3,2.053,0.0,0.0,12.99,,,-64.77,,312.59,377.37,,WSW,,11.01,101292.24,101232.11,
040HI,2024-01-15T12:30:00Z,94220.0,13.222,86.3,1.26,250.0,,0.0,0.0,13.06,,,-65.68,,311.71,377.39,,WSW,,10.96,101292.24,101232.54,
040HI,2024-01-15T12:35:00Z,94220.0,13.128,85.2,1.286,252.8,1.888,0.0,0.0,13.07,,,-65.56,,310.56,376.12,,WSW,,10.67,101292.24,101234.92,
040HI,2024-01-15T12:40:00Z,94220.0,12.961,84.8,1.219,249.8,1.945,0.0,0.0,13.01,,,-64.99,,310.06,375.05,,WSW,,10.44,101292.24,101239.14,
040HI,2024-01-15T12:45:00Z,94210.0,12.778,85.2,1.188,250.2,2.166,0.0,0.0,12.99,,,-63.71,,311.67,375.37,,WSW,,10.33,101281.49,101233.02,
040HI,2024-01-15T12:50:00Z,94210.0,12.722,84.6,1.132,247.7,2.053,0.0,0.0,13.06,,,-64.42,,310.63,375.04,,WSW,,10.17,101281.49,101234.44,
040HI,2024-01-15T12:55:00Z,94210.0,12.611,84.0,1.266,252.7,2.222,0.0,0.0,13.07,,,-64.25,,309.61,373.86,,WSW,,9.95,101281.49,101237.26,
040HI,2024-01-15T13:00:00Z,94210.0,12.511,84.0,1.168,243.9,2.109,0.0,0.0,13.07,,,-64.16,,308.85,373.01,,WSW,,9.85,101281.49,101239.79,
040HI,2024-01-15T13:05:00Z,94210.0,12.422,85.0,1.085,250.7,,0.0,0.0,13.03,,,-64.23,,308.4,372.63,,WSW,,9.94,101281.49,101242.04,
040HI,2024-01-15T13:10:00Z,94210.0,12.339,86.0,1.065,249.2,1.723,0.0,0.0,12.98,,,-63.07,,310.1,373.18,,WSW,,10.04,101281.49,101244.15,
040HI,2024-01-15T13:15:00Z,94200.0,12.289,87.3,0.977,245.2,1.945,0.0,0.0,13.06,,,-63.83,,309.55,373.38,,WSW,,10.22,101270.74,101234.66,
040HI,2024-01-15T13:20:00Z,94200.0,12.361,88.0,1.008,250.2,,0.0,0.0,13.0,,,-63.79,,309.18,372.97,,WSW,,10.41,101270.74,101232.83,
040HI,2024-01-15T13:25:00Z,94200.0,12.478,88.3,1.142,254.2,1.888,0.0,0.0,12.98,,,-63.03,,310.87,373.9,,WSW,,10.58,101270.74,101229.86,
040HI,2024-01-15T13:30:00Z,94200.0,12.661,87.8,1.379,255.8,1.945,0.0,0.0,13.01,,,-64.18,,310.04,374.22,,WSW,,10.67,101270.74,101225.22,
040HI,2024-01-15T13:35:00Z,94200.0,12.761,87.3,1.024,253.7,1.775,0.0,0.0,12.97,,,-63.15,,311.37,374.52,,WSW,,10.68,101270.74,101222.69,
040HI,2024-01-15T13:40:00Z,94200.0,12.678,87.3,1.096,260.5,,0.0,0.0,13.05,,,-64.3,,309.77,374.06,,W,,10.6,101270.74,101224.79,
040HI,2024-01-15T13:45:00Z,94200.0,12.661,87.0,0.854,260.4,1.389,0.0,0.0,13.01,,,-64.02,,308.7,372.72,,W,,10.53,101270.74,101225.23,
040HI,2024-01-15T13:50:00Z,94210.0,12.378,88.8,1.152,277.2,,0.0,0.0,12.97,,,-63.07,,309.63,372.7,,W,,10.56,101281.49,101243.14,
040HI,2024-01-15T13:55:00Z,94210.0,12.272,87.9,0.895,268.0,1.723,0.0,0.0,13.05,,,-63.47,,308.88,372.35,,W,,10.3,101281.49,101245.84,
040HI,2024-01-15T14:00:00Z,94210.0,12.172,88.7,1.142,283.4,1.667,0.0,0.0,13.01,,,-63.39,,307.99,371.38,,WNW,,10.34,101281.49,101248.37,
