attribute           value                                                       
dataStatement       This May. 2022 monthly temperature mean map of Honolulu County (Oahu) is a high spatial resolution gridded prediction of mean temperature in degrees Celsius for the month May. 2022. This was produced using a piece-wise linear regression model regressed on elevation with the junction point at 2150 meters. The model was trained on 24 unique station location(s) within Honolulu County (Oahu). A leave one out cross validation (LOOCV) of the station data used in this map produced an R-squared of: 0.7789. All maps are subject to change as new data becomes available or unknown errors are corrected in reoccurring versions. Errors in temperature estimates do vary over space meaning any gridded temperature value, even on higher quality maps, could still produce incorrect estimates. Check standard error (SE) maps to better understand spatial estimates of prediction error
keywords            Honolulu County (Oahu), Hawaii, mean temperature prediction, daily temperature, temperature, climate, linear regression
county              oa                                                          
dataYearMon         May. 2022                                                   
dataVersionType     preliminary                                                 
tempStationFile     daily_Tmin_2022_05.csv, daily_Tmax_2022_05.csv              
tempGridFile        Tmean_map_OA_202205_monthly.tif                             
tempSEGridFile      Tmean_map_OA_202205_se_monthly.tif                          
crossValidationFile 202205_Tmean_OA_loocv_monthly.csv                           
GeoCoordUnits       Decimal Degrees                                             
GeoCoordRefSystem   +proj=longlat +datum=WGS84 +no_defs +ellps=WGS84 +towgs84=0,0,0
XResolution         0.00225                                                     
YResolution         0.00225                                                     
ExtentXmin          -158.320875                                                 
ExtentXmax          -157.603125                                                 
ExtentYmin          21.181124999999998                                          
ExtentYmax          21.741374999999998                                          
stationCount        24                                                          
outerStationCount   0                                                           
regressionConst     nan                                                         
regressionSlope1    nan                                                         
regressionSlope2    nan                                                         
biasTemp            -0.04809                                                    
rsqTemp             0.77886                                                     
rmseTemp            0.44629                                                     
maeTemp             0.40523                                                     
credits             All data produced by University of Hawaii at Manoa Dept. of Geography and the Enviroment, Ecohydology Lab in collaboration with the Water Resource Research Center (WRRC). Support for the Hawai‘i EPSCoR Program is provided by the Hawaii Emergency Management Agency.
contacts            Keri Kodama (kodamak8@hawaii.edu), Matthew Lucas (mplucas@hawaii.edu), Ryan Longman (rlongman@hawaii.edu), Sayed Bateni (smbateni@hawaii.edu), Thomas Giambelluca (thomas@hawaii.edu)
